Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I122,F29-F96,DEN,BOS,42591,90112,21
I123,F96,ATL,BOS,83268,90112,31
I124,F97,MIA,ATL,20760,25075,2
I125,F98,ATL,PHX,48670,60140,38
I126,F99,MCO,PHX,20700,34060,11
I127,F100,PHX,SFO,68723,73430,96
I128,F101,DFW,ATL,20280,25563,2
I129,F102,ATL,DFW,50364,55647,10
I130,F103,MCO,IAH,20340,26514,28
I131,F22-F104,SFO,MCO,30598,52376,34
I132,F104,IAH,MCO,46202,52376,11
I133,F105,MCO,IAH,85094,91268,96
I134,F106,MSP,CLT,20700,27432,38
I135,F107,CLT,MSP,51532,58264,33
I136,F55-F108,EWR,CLT,33711,88039,38
I137,F108,MSP,CLT,81307,88039,58
I138,F109,SEA,MSP,19800,29898,37
I139,F110,MSP,SEA,31825,41923,160
I140,F111,SEA,MSP,53727,63825,63
I141,F112,MSP,EWR,72164,79445,160
I142,F113,JFK,ATL,20160,25659,3
I143,F89-F114,JFK,ORD,20100,58846,40
I144,F114,ATL,ORD,54454,58846,16
I145,F115,ORD,ATL,67033,71425,67
I146,F26-F116,DEN,MSP,49548,89517,30
I147,F29-F116,DEN,MSP,42591,89517,21
I148,F116,ATL,MSP,82952,89517,77
I149,F117,EWR,MIA,20160,28035,9
I150,F118,MIA,DTW,60027,68338,96
I151,F119,DTW,MIA,71123,79434,67
I152,F120,LAS,ORD,20340,31279,3
I153,F83-F121,SFO,JFK,20220,47128,14
I154,F121,ORD,JFK,41787,47128,41
I155,F49-F122,IAH,ORD,55316,79050,13
I156,F122,JFK,ORD,73709,79050,72
I157,F123,BOS,DFW,20520,31810,2
I158,F24-F124,SFO,BOS,20940,61658,22
I159,F124,DFW,BOS,50368,61658,70
I160,F125,BOS,DFW,73222,84512,128
I161,F126,ATL,LAS,19980,32598,61
I162,F40-F127,SFO,DEN,20820,44840,63
I163,F127,LAS,DEN,40300,44840,3
I164,F25-F128,DFW,CLT,36449,74620,23
I165,F127-F128,LAS,CLT,40300,74620,10
I166,F128,DEN,CLT,64954,74620,63
I167,F129,CLT,EWR,86937,90762,96
I168,F130,MSP,IAH,20880,28377,10
I169,F131,IAH,MSP,38224,45721,35
I170,F55-F132,EWR,IAH,33711,75828,38
I171,F132,MSP,IAH,68331,75828,58
I172,F133,MSP,EWR,20700,27981,67
I173,F134,EWR,MSP,32475,39756,5
I174,F31-F135,LAS,EWR,19980,59658,20
I175,F135,MSP,EWR,52377,59658,45
I176,F136,EWR,MSP,69994,77275,96
I177,F131-F137,IAH,DFW,38224,85829,35
I178,F137,MSP,DFW,79655,85829,61
I179,F138,EWR,ORD,20580,25773,2
I180,F120-F139,LAS,ATL,20340,54163,39
I181,F139,ORD,ATL,49771,54163,3
I182,F140,DFW,CLT,20580,27343,22
I183,F141,CLT,ORD,46261,50599,13
I184,F18-F142,PHL,LAX,20580,71036,49
I185,F120-F142,LAS,LAX,20340,71036,18
I186,F142,ORD,LAX,58427,71036,40
I187,F143,SEA,DFW,19800,31806,3
I188,F144,DFW,ORD,50580,56385,44
I189,F38-F145,DFW,MCO,48105,92948,19
I190,F120-F145,LAS,MCO,20340,92948,13
I191,F138-F145,EWR,MCO,20580,92948,47
I192,F145,ORD,MCO,85658,92948,49
I193,F146,SFO,MSP,19980,31459,10
I194,F109-F147,SEA,PHX,19800,75612,76
I195,F147,MSP,PHX,66383,75612,52
I196,F148,PHX,SFO,20400,25107,54
I197,F149,SFO,PHX,41647,46354,33
I198,F98-F150,ATL,MCO,48670,80960,55
I199,F150,PHX,MCO,67600,80960,105
I200,F151,LAS,DFW,20100,27723,2
I201,F152,DFW,ATL,51390,56673,3
I202,F153,ATL,DFW,86508,91791,128
I203,F154,DTW,DFW,20100,27237,2
I204,F34-F155,ORD,JFK,20400,60561,31
I205,F37-F155,SFO,JFK,20400,60561,45
I206,F155,DFW,JFK,50508,60561,52
I207,F156,EWR,DFW,19920,29838,2
I208,F24-F157,SFO,EWR,20940,73717,11
I209,F157,DFW,EWR,63799,73717,85
I210,F158,PHL,ORD,20640,25536,2
I211,F138-F159,EWR,PHL,20580,51535,16
I212,F159,ORD,PHL,46639,51535,12
I213,F160,PHL,IAH,56121,65701,96
I214,F161,JFK,DEN,21000,32740,4
I215,F162,DEN,PHX,54911,59267,74
I216,F163,PHX,DEN,89239,93595,128
I217,F164,LAS,SEA,20400,26677,23
I218,F164-F165,LAS,DFW,20400,49349,39
I219,F165,SEA,DFW,37343,49349,16
I220,F166,DFW,ORD,52469,58274,37
I221,F49-F122-F167,IAH,DFW,55316,88287,11
I222,F167,ORD,DFW,82482,88287,85
I223,F168,LAX,ORD,20340,32949,6
I224,F18-F169,PHL,EWR,20580,60477,43
I225,F169,ORD,EWR,55284,60477,35
I226,F170,EWR,CLT,72870,76695,89
I227,F03-F171,JFK,ORD,20340,83562,58
I228,F170-F171,EWR,ORD,72870,83562,39
I229,F171,CLT,ORD,79224,83562,31
I230,F172,DFW,DEN,20700,25344,14
I231,F28-F173,PHX,EWR,20460,56403,12
I232,F173,DEN,EWR,44811,56403,49
I233,F174,MSP,DFW,21000,27174,5
I234,F72-F175,MCO,MSP,20700,43365,62
I235,F175,DFW,MSP,37191,43365,4
I236,F176,MSP,DFW,72579,78753,96
I237,F177,PHL,DTW,20400,23676,36
I238,F178,DTW,PHL,37925,41201,30
I239,F159-F179,ORD,DEN,46639,73611,16
I240,F179,PHL,DEN,62361,73611,101
I241,F180,LAS,DFW,20760,28383,33
I242,F72-F181,MCO,MIA,20700,59208,31
I243,F123-F181,BOS,MIA,20520,59208,39
I244,F156-F181,EWR,MIA,19920,59208,36
I245,F181,DFW,MIA,51099,59208,16
I246,F117-F182,EWR,CLT,20160,71247,34
I247,F182,MIA,CLT,66527,71247,94
I248,F183,LAS,SFO,20100,23088,30
I249,F184,SFO,LAS,37887,40875,26
I250,F185,LAS,SFO,43868,46856,63
I251,F186,SFO,LAS,60864,63852,96
I252,F187,MCO,IAH,20820,26994,22
I253,F188,IAH,MCO,34025,40199,66
I254,F104-F189,IAH,ATL,46202,61786,28
I255,F189,MCO,ATL,58861,61786,12
I256,F26-F190,DEN,MCO,49548,75463,13
I257,F95-F190,PHL,MCO,54863,75463,34
I258,F190,ATL,MCO,72538,75463,35
I259,F191,DTW,DFW,19980,27117,2
I260,F154-F192,DTW,MCO,20100,43044,59
I261,F192,DFW,MCO,35925,43044,32
I262,F51-F193,CLT,MSP,19860,63021,27
I263,F192-F193,DFW,MSP,35925,63021,48
I264,F193,MCO,MSP,53526,63021,60
I265,F31-F194,LAS,MCO,19980,80061,16
I266,F175-F194,DFW,MCO,37191,80061,14
I267,F194,MSP,MCO,70566,80061,130
I268,F195,SEA,DFW,20400,32406,6
I269,F156-F196,EWR,MIA,19920,43652,16
I270,F174-F196,MSP,MIA,21000,43652,37
I271,F196,DFW,MIA,35543,43652,35
I272,F197,MIA,EWR,61946,69821,99
I273,F198,SEA,DEN,20820,28222,2
I274,F65-F199,BOS,SEA,20940,61846,41
I275,F127-F199,LAS,SEA,40300,61846,8
I276,F199,DEN,SEA,54444,61846,31
I277,F200,PHL,IAH,20580,30160,4
I278,F08-F201,ORD,ATL,20160,49976,31
I279,F41-F201,LAS,ATL,28462,49976,47
I280,F201,IAH,ATL,44995,49976,5
I281,F26-F202,DEN,LAS,49548,81502,7
I282,F89-F202,JFK,LAS,20100,81502,26
I283,F152-F202,DFW,LAS,51390,81502,51
I284,F202,ATL,LAS,68884,81502,44
I285,F203,CLT,MSP,20520,27252,18
I286,F109-F204,SEA,DEN,19800,44722,29
I287,F146-F204,SFO,DEN,19980,44722,36
I288,F204,MSP,DEN,39808,44722,7
I289,F205,DEN,MSP,47904,52818,38
I290,F107-F206,CLT,SEA,51532,85394,45
I291,F206,MSP,SEA,75296,85394,115
I292,F207,EWR,CLT,21000,24825,38
I293,F208,CLT,EWR,35233,39058,52
I294,F54-F209,DFW,CLT,20700,49330,46
I295,F209,EWR,CLT,45505,49330,44
I296,F210,CLT,MSP,70268,77000,128
I297,F211,MSP,EWR,20580,27861,8
I298,F212,EWR,ATL,29866,35261,5
I299,F93-F213,MCO,PHX,19860,57191,24
I300,F213,ATL,PHX,45721,57191,61
I301,F214,PHX,IAH,82013,89303,128
I302,F215,SFO,DEN,20400,27384,23
I303,F65-F216,BOS,LAX,20940,59786,16
I304,F161-F216,JFK,LAX,21000,59786,31
I305,F216,DEN,LAX,53554,59786,79
I306,F161-F216-F217,JFK,ORD,21000,81855,28
I307,F217,LAX,ORD,69246,81855,132
I308,F218,IAH,MSP,20640,28137,39
I309,F203-F219,CLT,DFW,20520,46970,52
I310,F219,MSP,DFW,40796,46970,4
I311,F180-F220,LAS,SFO,20760,66531,46
I312,F220,DFW,SFO,55952,66531,58
I313,F221,IAH,SFO,20340,32161,20
I314,F148-F222,PHX,ORD,20400,74944,59
I315,F222,SFO,ORD,61611,74944,70
I316,F223,DTW,DFW,20400,27537,12
I317,F72-F224,MCO,DTW,20700,68471,19
I318,F143-F224,SEA,DTW,19800,68471,41
I319,F156-F224,EWR,DTW,19920,68471,9
I320,F224,DFW,DTW,61334,68471,80
I321,F225,DTW,DFW,80244,87381,160
I322,F226,MIA,DEN,20040,32406,11
I323,F65-F227,BOS,JFK,20940,66926,8
I324,F146-F204-F227,SFO,JFK,19980,66926,27
I325,F204-F227,MSP,JFK,39808,66926,25
I326,F227,DEN,JFK,55186,66926,42
I327,F47-F228,MSP,DEN,21000,92381,12
I328,F49-F228,IAH,DEN,55316,92381,17
I329,F75-F76-F228,MCO,DEN,20040,92381,17
I330,F228,JFK,DEN,80641,92381,82
I331,F229,LAS,SFO,20160,23148,101
I332,F221-F230,IAH,PHX,20340,45013,79
I333,F230,SFO,PHX,40306,45013,3
I334,F230-F231,SFO,DFW,40306,61324,35
I335,F231,PHX,DFW,55056,61324,65
I336,F232,DFW,MCO,73962,81081,47
I337,F233,EWR,IAH,19800,29925,8
I338,F103-F234,MCO,BOS,20340,57431,31
I339,F130-F234,MSP,BOS,20880,57431,38
I340,F234,IAH,BOS,45880,57431,27
I341,F235,BOS,MIA,19800,28926,32
I342,F236,MIA,PHL,55410,62763,78
I343,F15-F237,DEN,MIA,31334,89837,42
I344,F237,PHL,MIA,82484,89837,86
I345,F238,MSP,DEN,19980,24894,23
I346,F28-F239,PHX,CLT,20460,36758,14
I347,F239,DEN,CLT,27092,36758,49
I348,F140-F240,DFW,DEN,20580,63627,53
I349,F240,CLT,DEN,53961,63627,46
I350,F241,CLT,PHX,20640,33456,14
I351,F242,PHX,DTW,57879,69952,72
I352,F243,MSP,CLT,20160,26892,23
I353,F75-F244,MCO,MSP,20040,45732,21
I354,F140-F244,DFW,MSP,20580,45732,27
I355,F244,CLT,MSP,39000,45732,8
I356,F205-F245,DEN,SEA,47904,85498,64
I357,F245,MSP,SEA,75400,85498,32
I358,F246,SFO,DEN,20100,27084,16
I359,F65-F247,BOS,MSP,20940,56414,6
I360,F78-F247,IAH,MSP,20160,56414,78
I361,F247,DEN,MSP,51500,56414,5
I362,F55-F248,EWR,DEN,33711,83438,19
I363,F248,MSP,DEN,78524,83438,77
I364,F249,LAX,DFW,20400,29323,4
I365,F34-F250,ORD,LAX,20400,73563,20
I366,F123-F250,BOS,LAX,20520,73563,35
I367,F250,DFW,LAX,64640,73563,41
I368,F251,IAH,CLT,20760,27357,6
I369,F03-F252,JFK,BOS,20340,34698,48
I370,F252,CLT,BOS,29433,34698,48
I371,F56-F253,MSP,DFW,48488,69809,24
I372,F253,BOS,DFW,58519,69809,35
I373,F254,BOS,ORD,19860,26119,2
I374,F255,ORD,LAS,46469,57408,77
I375,F40-F256,SFO,ORD,20820,77384,19
I376,F60-F256,ATL,ORD,28902,77384,17
I377,F256,LAS,ORD,66445,77384,35
I378,F257,MIA,ORD,20040,28725,2
I379,F258,ORD,MIA,33470,42155,6
I380,F235-F259,BOS,ATL,19800,63275,46
I381,F258-F259,ORD,ATL,33470,63275,31
I382,F259,MIA,ATL,58960,63275,11
I383,F59-F260,PHL,IAH,20100,71234,37
I384,F260,ATL,IAH,66253,71234,38
I385,F22-F261,SFO,ATL,30598,90600,21
I386,F130-F261,MSP,ATL,20880,90600,22
I387,F261,IAH,ATL,85619,90600,53
I388,F262,MSP,PHL,20760,27843,20
I389,F263,PHL,DFW,58134,67548,15
I390,F264,PHL,IAH,21000,30580,32
I391,F130-F265,MSP,ATL,20880,45474,13
I392,F265,IAH,ATL,40493,45474,13
I393,F89-F266,JFK,MIA,20100,59919,11
I394,F212-F266,EWR,MIA,29866,59919,27
I395,F266,ATL,MIA,55604,59919,49
I396,F267,SFO,ORD,20940,34273,28
I397,F268,ORD,SFO,51748,65081,66
I398,F229-F269,LAS,DEN,20160,75727,59
I399,F268-F269,ORD,DEN,51748,75727,20
I400,F269,SFO,DEN,68743,75727,3
I401,F28-F270,PHX,IAH,20460,86510,12
I402,F47-F64-F270,MSP,IAH,21000,86510,18
I403,F172-F270,DFW,IAH,20700,86510,56
I404,F270,DEN,IAH,80269,86510,10
I405,F271,SFO,PHX,20880,25587,57
I406,F241-F272,CLT,SFO,20640,48501,38
I407,F272,PHX,SFO,43794,48501,25
I408,F273,SFO,ORD,79451,92784,96
I409,F274,LAS,MSP,20160,29551,14
I410,F275,MSP,SFO,43410,54889,96
I411,F272-F276,PHX,DEN,43794,68408,15
I412,F276,SFO,DEN,61424,68408,27
I413,F277,JFK,DEN,20820,32560,112
I414,F14-F278,LAX,JFK,20940,56544,32
I415,F28-F278,PHX,JFK,20460,56544,4
I416,F278,DEN,JFK,44804,56544,12
I417,F278-F279,DEN,IAH,44804,70972,59
I418,F279,JFK,IAH,60726,70972,101
I419,F280,IAH,DEN,20460,26701,16
I420,F204-F281,MSP,IAH,39808,58752,20
I421,F281,DEN,IAH,52511,58752,23
I422,F04-F282,CLT,DEN,55141,88043,61
I423,F08-F282,ORD,DEN,20160,88043,18
I424,F282,IAH,DEN,81802,88043,17
I425,F283,JFK,MSP,20760,28189,24
I426,F284,MSP,DTW,41956,45772,96
I427,F285,DTW,MCO,48882,55825,62
I428,F286,MCO,DTW,75423,82366,160
I429,F287,MSP,SFO,21000,32479,57
I430,F148-F288,PHX,LAS,20400,45012,47
I431,F221-F288,IAH,LAS,20340,45012,38
I432,F288,SFO,LAS,42024,45012,11
I433,F289,LAS,SFO,67059,70047,54
I434,F220-F290,DFW,IAH,55952,92490,56
I435,F290,SFO,IAH,80669,92490,40
I436,F291,MCO,DFW,20880,27999,11
I437,F24-F292,SFO,ORD,20940,59913,6
I438,F154-F292,DTW,ORD,20100,59913,24
I439,F292,DFW,ORD,54108,59913,27
I440,F158-F293,PHL,DFW,20640,73001,21
I441,F267-F293,SFO,DFW,20940,73001,30
I442,F293,ORD,DFW,67196,73001,33
I443,F24-F294,SFO,ORD,20940,81673,2
I444,F143-F294,SEA,ORD,19800,81673,33
I445,F174-F294,MSP,ORD,21000,81673,24
I446,F195-F294,SEA,ORD,20400,81673,64
I447,F294,DFW,ORD,75868,81673,5
I448,F295,ATL,MSP,19920,26485,6
I449,F31-F296,LAS,ATL,19980,63813,6
I450,F283-F296,JFK,ATL,20760,63813,51
I451,F296,MSP,ATL,57248,63813,12
I452,F26-F297,DEN,MSP,49548,77805,5
I453,F89-F297,JFK,MSP,20100,77805,5
I454,F201-F297,IAH,MSP,44995,77805,17
I455,F297,ATL,MSP,71240,77805,68
I456,F298,DEN,PHX,20220,24576,28
I457,F299,PHX,DFW,27170,33438,11
I458,F123-F300,BOS,PHX,20520,64611,22
I459,F195-F300,SEA,PHX,20400,64611,41
I460,F300,DFW,PHX,58343,64611,22
I461,F149-F301,SFO,DFW,41647,73459,40
I462,F301,PHX,DFW,67191,73459,24
I463,F302,MSP,JFK,20520,27949,25
I464,F63-F303,DTW,MCO,44138,58317,26
I465,F83-F121-F303,SFO,MCO,20220,58317,12
I466,F303,JFK,MCO,51473,58317,12
I467,F12-F304,DTW,PHL,47999,86906,32
I468,F304,MCO,PHL,80660,86906,96
I469,F305,MCO,EWR,20580,27375,17
I470,F86-F306,IAH,DTW,19920,43351,23
I471,F306,EWR,DTW,39828,43351,74
I472,F307,DTW,DFW,55590,62727,34
I473,F34-F308,ORD,LAX,20400,83494,14
I474,F307-F308,DTW,LAX,55590,83494,79
I475,F308,DFW,LAX,74571,83494,67
I476,F309,JFK,ATL,20460,25959,2
I477,F309-F310,JFK,DFW,20460,37488,20
I478,F310,ATL,DFW,32205,37488,5
I479,F102-F311,ATL,LAS,50364,66468,57
I480,F123-F311,BOS,LAS,20520,66468,12
I481,F311,DFW,LAS,58845,66468,17
I482,F312,DFW,DEN,20760,25404,16
I483,F198-F313,SEA,DFW,20820,40442,43
I484,F215-F313,SFO,DFW,20400,40442,65
I485,F313,DEN,DFW,35798,40442,21
I486,F34-F314,ORD,SFO,20400,80172,10
I487,F72-F314,MCO,SFO,20700,80172,11
I488,F151-F314,LAS,SFO,20100,80172,62
I489,F154-F314,DTW,SFO,20100,80172,19
I490,F307-F314,DTW,SFO,55590,80172,28
I491,F314,DFW,SFO,69593,80172,24
I492,F315,EWR,ORD,20880,26073,14
I493,F38-F316,DFW,ATL,48105,60376,20
I494,F138-F316,EWR,ATL,20580,60376,14
I495,F158-F316,PHL,ATL,20640,60376,18
I496,F254-F316,BOS,ATL,19860,60376,27
I497,F316,ORD,ATL,55984,60376,13
I498,F89-F317,JFK,DFW,20100,72720,6
I499,F95-F317,PHL,DFW,54863,72720,35
I500,F316-F317,ORD,DFW,55984,72720,21
I501,F317,ATL,DFW,67437,72720,17
I502,F69-F318,SEA,DTW,60398,84586,35
I503,F249-F318,LAX,DTW,20400,84586,34
I504,F149-F301-F318,SFO,DTW,41647,84586,32
I505,F317-F318,ATL,DTW,67437,84586,33
I506,F318,DFW,DTW,77449,84586,26
I507,F319,JFK,MCO,21000,27844,28
I508,F51-F320,CLT,DFW,19860,45596,22
I509,F320,MCO,DFW,38477,45596,15
I510,F191-F321,DTW,MCO,19980,58046,78
I511,F321,DFW,MCO,50927,58046,4
I512,F322,JFK,ATL,20400,25899,40
I513,F323,ATL,JFK,31012,36511,52
I514,F76-F324,CLT,ATL,49764,68206,27
I515,F278-F324,DEN,ATL,44804,68206,30
I516,F324,JFK,ATL,62707,68206,71
I517,F139-F325,ORD,JFK,49771,88461,23
I518,F201-F325,IAH,JFK,44995,88461,11
I519,F296-F325,MSP,JFK,57248,88461,15
I520,F254-F316-F325,BOS,JFK,19860,88461,16
I521,F325,ATL,JFK,82962,88461,63
I522,F326,JFK,DTW,20640,24312,38
I523,F327,DTW,DEN,33796,41905,19
I524,F07-F328,BOS,SFO,56773,84005,76
I525,F28-F328,PHX,SFO,20460,84005,3
I526,F328,DEN,SFO,77021,84005,17
I527,F329,PHX,ORD,20160,30568,16
I528,F257-F330,MIA,LAS,20040,69243,42
I529,F330,ORD,LAS,58304,69243,50
I530,F331,LAS,MSP,20340,29731,16
I531,F146-F332,SFO,BOS,19980,57558,32
I532,F175-F332,DFW,BOS,37191,57558,6
I533,F283-F332,JFK,BOS,20760,57558,47
I534,F295-F332,ATL,BOS,19920,57558,19
I535,F332,MSP,BOS,49440,57558,5
I536,F333,LAS,DEN,20760,25300,10
I537,F14-F334,LAX,PHL,20940,67582,9
I538,F198-F334,SEA,PHL,20820,67582,12
I539,F246-F334,SFO,PHL,20100,67582,32
I540,F334,DEN,PHL,56332,67582,13
I541,F335,JFK,MIA,20100,28006,36
I542,F258-F336,ORD,CLT,33470,61628,29
I543,F335-F336,JFK,CLT,20100,61628,40
I544,F336,MIA,CLT,56908,61628,11
I545,F52-F337,MCO,MSP,49977,81384,39
I546,F81-F337,EWR,MSP,20460,81384,52
I547,F337,CLT,MSP,74652,81384,5
I548,F338,DFW,LAS,20040,27663,78
I549,F339,LAS,DFW,39648,47271,18
I550,F143-F340,SEA,LAS,19800,67796,21
I551,F191-F340,DTW,LAS,19980,67796,38
I552,F223-F340,DTW,LAS,20400,67796,53
I553,F340,DFW,LAS,60173,67796,9
I554,F341,EWR,ORD,20580,25773,2
I555,F120-F342,LAS,MCO,20340,60750,11
I556,F158-F342,PHL,MCO,20640,60750,13
I557,F315-F342,EWR,MCO,20880,60750,51
I558,F342,ORD,MCO,53460,60750,11
I559,F53-F343,CLT,ATL,65407,93230,40
I560,F232-F343,DFW,ATL,73962,93230,72
I561,F343,MCO,ATL,90305,93230,16
I562,F344,PHL,MIA,19920,27273,32
I563,F44-F345,EWR,PHL,19980,64049,30
I564,F345,MIA,PHL,56696,64049,130
I565,F178-F346,DTW,MIA,37925,82776,48
I566,F346,PHL,MIA,75423,82776,112
I567,F347,LAX,DFW,19920,28843,9
I568,F299-F348,PHX,LAX,27170,45559,29
I569,F348,DFW,LAX,36636,45559,8
I570,F349,LAX,SEA,75683,82595,96
I571,F350,CLT,JFK,20580,24495,43
I572,F351,JFK,DEN,47903,59643,18
I573,F16-F352,PHL,ORD,45705,85405,34
I574,F64-F352,JFK,ORD,54685,85405,24
I575,F280-F352,IAH,ORD,20460,85405,33
I576,F352,DEN,ORD,78988,85405,37
I577,F353,LAX,IAH,20820,30787,11
I578,F41-F354,LAS,LAX,28462,70068,32
I579,F354,IAH,LAX,60101,70068,128
I580,F355,PHL,MIA,20220,27573,97
I581,F117-F356,EWR,PHL,20160,48979,19
I582,F235-F356,BOS,PHL,19800,48979,32
I583,F356,MIA,PHL,41626,48979,68
I584,F357,PHL,MIA,68106,75459,33
I585,F358,DEN,SFO,19920,26904,30
I586,F358-F359,DEN,SEA,19920,41531,61
I587,F359,SFO,SEA,36613,41531,99
I588,F360,SEA,SFO,55909,60827,160
I589,F183-F361,LAS,SEA,20100,88244,40
I590,F221-F361,IAH,SEA,20340,88244,15
I591,F289-F361,LAS,SEA,67059,88244,42
I592,F361,SFO,SEA,83326,88244,63
I593,F362,CLT,DFW,20880,27643,11
I594,F123-F363,BOS,MSP,20520,62386,7
I595,F191-F363,DTW,MSP,19980,62386,21
I596,F363,DFW,MSP,56212,62386,40
I597,F364,ORD,SEA,20220,32644,38
I598,F364-F365,ORD,LAS,20220,62380,48
I599,F365,SEA,LAS,56103,62380,112
