Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I21,I21,F19,F19,72,DEN,BWI,67925.0,78693.0,0.0,0.0,18:52 -> 21:51
I22,I22,F20,F20,88,DEN,SEA,20220.0,27622.0,0.0,0.0,05:37 -> 07:40
I23,I23,F21,F21,82,SEA,DEN,62068.0,69470.0,0.0,0.0,17:14 -> 19:17
I24,I24,F22,F22,90,JFK,ATL,20100.0,25599.0,0.0,0.0,05:35 -> 07:06
I25,I25,F22-F23,F22-F23,38,JFK,FLL,20100.0,31677.0,0.0,0.0,05:35 -> 08:47
I26,I26,F23,F23,90,ATL,FLL,27465.0,31677.0,0.0,0.0,07:37 -> 08:47
I27,I27,F24,F24,128,FLL,ORD,69037.54720182916,77609.54720182916,3465.547201829162,7572.1,19:10 -> 21:33
I28,I28,F25,F25,128,SEA,DEN,20940.0,28342.0,0.0,0.0,05:49 -> 07:52
I29,I29,F26,F26,57,DEN,CLT,37855.0,47521.0,0.0,0.0,10:30 -> 13:12
I30,I30,F27,F27,83,CLT,JFK,73028.14728500831,76943.14728500831,8392.147285008308,11890.1,20:17 -> 21:22
I31,I31,F27-F28,F27-F28,45,CLT,MSP,73028.14728500831,91218.0,0.0,0.0,20:17 -> 01:20 (+1)
I32,I32,F28,F28,83,JFK,MSP,83789.0,91218.0,0.0,0.0,23:16 -> 01:20 (+1)
I33,I33,F29,F29,90,JFK,MSP,19860.0,27289.0,0.0,0.0,05:31 -> 07:34
I34,I34,F29-F30,F29-F30,70,JFK,MIA,19860.0,45808.0,0.0,0.0,05:31 -> 12:43
I35,I35,F30,F30,90,MSP,MIA,34927.0,45808.0,0.0,0.0,09:42 -> 12:43
I36,I36,F31,F31,160,MIA,MSP,48681.0,59562.0,0.0,0.0,13:31 -> 16:32
I37,I37,F32,F32,96,PHL,IAH,20220.0,29800.0,0.0,0.0,05:37 -> 08:16
I38,I38,F33,F33,56,IAH,PHL,55864.0,65444.0,0.0,0.0,15:31 -> 18:10
I39,I39,F34,F34,96,PHL,FLL,81711.0,88911.0,0.0,0.0,22:41 -> 00:41 (+1)
I40,I40,F35,F35,160,ORD,SFO,20220.0,33553.0,0.0,0.0,05:37 -> 09:19
I41,I41,F36,F36,160,SFO,ORD,61023.0,74356.0,0.0,0.0,16:57 -> 20:39
I42,I42,F37,F37,160,ORD,MCO,76991.0,84281.0,0.0,0.0,21:23 -> 23:24
I43,I43,F38,F38,73,MCO,PHL,20760.0,27006.0,0.0,0.0,05:46 -> 07:30
I44,I44,F38-F39,F38-F39,55,MCO,CLT,20760.0,62195.0,0.0,0.0,05:46 -> 17:16
I45,I45,F39,F39,73,PHL,CLT,58951.0,62195.0,0.0,0.0,16:22 -> 17:16
I46,I46,F26-F40,F26-F40,41,DEN,PHL,37855.0,83648.0,0.0,0.0,10:30 -> 23:14
I47,I47,F40,F40,87,CLT,PHL,80404.0,83648.0,0.0,0.0,22:20 -> 23:14
I48,I48,F41,F41,128,ATL,MIA,20580.0,24895.0,0.0,0.0,05:43 -> 06:54
I49,I49,F42,F42,128,MIA,DFW,55443.0,63552.0,0.0,0.0,15:24 -> 17:39
I50,I50,F43,F43,128,DFW,SEA,72474.0,84480.0,0.0,0.0,20:07 -> 23:28
I51,I51,F44,F44,128,SFO,PHX,19980.0,24687.0,0.0,0.0,05:33 -> 06:51
I52,I52,F45,F45,128,PHX,ORD,42329.0,52737.0,0.0,0.0,11:45 -> 14:38
I53,I53,F10-F46,F10-F46,42,LAX,SEA,38897.0,69714.0,0.0,0.0,10:48 -> 19:21
I54,I54,F46,F46,86,ORD,SEA,57290.0,69714.0,0.0,0.0,15:54 -> 19:21
I55,I55,F47,F47,80,PHX,IAH,20460.0,27750.0,0.0,0.0,05:41 -> 07:42
I56,I56,F48,F48,128,IAH,ORD,42372.0,49077.0,0.0,0.0,11:46 -> 13:37
I57,I57,F49,F49,128,ORD,CLT,65205.0,69543.0,0.0,0.0,18:06 -> 19:19
I58,I58,F50,F50,96,PHL,MSP,20880.0,27963.0,0.0,0.0,05:48 -> 07:46
I59,I59,F51,F51,96,MSP,PHL,63885.0,70968.0,0.0,0.0,17:44 -> 19:42
I60,I60,F52,F52,96,PHL,ORD,75714.0,80610.0,0.0,0.0,21:01 -> 22:23
I61,I61,F53,F53,128,DEN,IAH,20760.0,27001.0,0.0,0.0,05:46 -> 07:30
I62,I62,F54,F54,128,IAH,CLT,75644.73850926067,82241.73850926067,13099.738509260671,28622.4,21:00 -> 22:50
I63,I63,F26-F55,F26-F55,30,DEN,IAH,37855.0,90638.73850926067,7300.738509260671,3738.7,10:30 -> 01:10 (+1)
I64,I64,F55,F55,98,CLT,IAH,84041.73850926067,90638.73850926067,7300.738509260671,12213.1,23:20 -> 01:10 (+1)
I65,I65,F56,F56,160,SEA,PHX,20100.0,28114.0,0.0,0.0,05:35 -> 07:48
I66,I66,F57,F57,160,PHX,SEA,39283.0,47297.0,0.0,0.0,10:54 -> 13:08
I67,I67,F20-F58,F20-F58,40,DEN,LAS,20220.0,77533.0,0.0,0.0,05:37 -> 21:32
I68,I68,F58,F58,120,SEA,LAS,71256.0,77533.0,0.0,0.0,19:47 -> 21:32
I69,I69,F59,F59,160,SEA,LAX,21000.0,27912.0,0.0,0.0,05:50 -> 07:45
I70,I70,F60,F60,160,LAX,IAH,47618.0,57585.0,0.0,0.0,13:13 -> 15:59
I71,I71,F47-F61,F47-F61,48,PHX,MIA,20460.0,73760.0,0.0,0.0,05:41 -> 20:29
I72,I72,F61,F61,112,IAH,MIA,66790.0,73760.0,0.0,0.0,18:33 -> 20:29
I73,I73,F62,F62,160,MIA,ATL,84944.0,89259.0,0.0,0.0,23:35 -> 00:47 (+1)
I74,I74,F63,F63,83,SFO,DEN,27855.080454595958,34839.080454595955,7935.0804545959545,11242.5,07:44 -> 09:40
I75,I75,F63-F64,F63-F64,77,SFO,PHL,27855.080454595958,58188.0,0.0,0.0,07:44 -> 16:09
I76,I76,F64,F64,54,DEN,PHL,46938.0,58188.0,0.0,0.0,13:02 -> 16:09
I77,I77,F33-F65,F33-F65,40,IAH,ATL,55864.0,80515.0,0.0,0.0,15:31 -> 22:21
I78,I78,F64-F65,F64-F65,29,DEN,ATL,46938.0,80515.0,0.0,0.0,13:02 -> 22:21
I79,I79,F65,F65,91,PHL,ATL,75696.0,80515.0,0.0,0.0,21:01 -> 22:21
I80,I80,F66,F66,96,DEN,JFK,20700.0,32440.0,0.0,0.0,05:45 -> 09:00
I81,I81,F67,F67,96,JFK,DEN,44322.0,56062.0,0.0,0.0,12:18 -> 15:34
I82,I82,F21-F68,F21-F68,46,SEA,LAX,62068.0,83157.0,0.0,0.0,17:14 -> 23:05
I83,I83,F68,F68,50,DEN,LAX,76925.0,83157.0,0.0,0.0,21:22 -> 23:05
I84,I84,F69,F69,128,PHX,ATL,20400.0,31870.0,0.0,0.0,05:40 -> 08:51
I85,I85,F70,F70,128,ATL,MSP,56016.0,62581.0,0.0,0.0,15:33 -> 17:23
I86,I86,F71,F71,128,LAX,ORD,20220.0,32829.0,0.0,0.0,05:37 -> 09:07
I87,I87,F72,F72,128,ORD,LAX,52503.0,65112.0,0.0,0.0,14:35 -> 18:05
