iata_code,lat,lon,name,type,iso3,iso_region,municipality
BRC,-41.151199,-71.157501,San Carlos De Bariloche Airport,medium_airport,ARG,AR-R,San Carlos de Bariloche
ULA,-49.3068,-67.8026,Capitan D Daniel Vazquez Airport,medium_airport,ARG,AR-Z,San Julian
COR,-31.323601,-64.208,Ingeniero Ambrosio Taravella Airport,medium_airport,ARG,AR-X,Cordoba
AEP,-34.5592,-58.4156,Jorge Newbery Airpark,medium_airport,ARG,AR-C,Buenos Aires
SFN,-31.7117,-60.8117,Sauce Viejo Airport,medium_airport,ARG,AR-S,Santa Fe
ROS,-32.9036,-60.785,Islas Malvinas Airport,medium_airport,ARG,AR-S,Rosario
PRA,-31.7948,-60.4804,General Urquiza Airport,medium_airport,ARG,AR-E,Parana
EZE,-34.8222,-58.5358,Ministro Pistarini International Airport,large_airport,ARG,AR-B,Buenos Aires
RSA,-36.588299,-64.27570300000001,Santa Rosa Airport,medium_airport,ARG,AR-L,Santa Rosa
USH,-54.8433,-68.2958,Malvinas Argentinas Airport,medium_airport,ARG,AR-V,Ushuahia
MDZ,-32.83169937,-68.79290009,El Plumerillo Airport,medium_airport,ARG,AR-M,Mendoza
PUD,-47.7353,-65.9041,Puerto Deseado Airport,medium_airport,ARG,AR-Z,Puerto Deseado
AFA,-34.588299,-68.4039,Suboficial Ay Santiago Germano Airport,medium_airport,ARG,AR-M,San Rafael
RGL,-51.6089,-69.3126,Piloto Civil N. Fernández Airport,medium_airport,ARG,AR-Z,Rio Gallegos
SDE,-27.76555634,-64.30999756,Vicecomodoro Angel D. La Paz Aragonés Airport,medium_airport,ARG,AR-G,Santiago del Estero
IRJ,-29.38159943,-66.79579926,Capitan V A Almonacid Airport,medium_airport,ARG,AR-F,La Rioja
RHD,-27.4966,-64.93595,Termas de Río Hondo international Airport,medium_airport,ARG,AR-G,Termas de Río Hondo
TUC,-26.8409,-65.104897,Teniente Benjamin Matienzo Airport,medium_airport,ARG,AR-T,San Miguel de Tucumán
UAQ,-31.571501,-68.418198,Domingo Faustino Sarmiento Airport,medium_airport,ARG,AR-J,San Juan
LUQ,-33.27320099,-66.35639954,Brigadier Mayor D Cesar Raul Ojeda Airport,medium_airport,ARG,AR-D,San Luis
CNQ,-27.4455,-58.7619,Corrientes Airport,medium_airport,ARG,AR-W,Corrientes
RES,-27.45,-59.0561,Resistencia International Airport,medium_airport,ARG,AR-H,Resistencia
FMA,-26.2127,-58.2281,Formosa Airport,medium_airport,ARG,AR-P,Formosa
IGR,-25.737301000000002,-54.4734,Cataratas Del Iguazú International Airport,medium_airport,ARG,AR-N,Puerto Iguazu
CTC,-28.59560013,-65.75170136,Catamarca Airport,medium_airport,ARG,AR-K,Catamarca
SLA,-24.856000899999998,-65.48619843,Martin Miguel De Guemes International Airport,medium_airport,ARG,AR-A,Salta
JUJ,-24.392799,-65.097801,Gobernador Horacio Guzman International Airport,medium_airport,ARG,AR-Y,San Salvador de Jujuy
TTG,-22.6196003,-63.79370117,General Enrique Mosconi Airport,medium_airport,ARG,AR-A,Tartagal
CRD,-45.7853,-67.4655,General E. Mosconi Airport,medium_airport,ARG,AR-U,Comodoro Rivadavia
EQS,-42.90800095,-71.13950348,Brigadier Antonio Parodi Airport,medium_airport,ARG,AR-U,Esquel
LHS,-46.53829956,-68.96530151,Las Heras Airport,medium_airport,ARG,AR-Z,Las Heras
FTE,-50.2803,-72.053101,El Calafate Airport,medium_airport,ARG,AR-Z,El Calafate
OES,-40.7512,-65.0343,Antoine de Saint Exupéry Airport,small_airport,ARG,AR-R,San Antonio Oeste
REL,-43.2105,-65.2703,Almirante Marco Andres Zar Airport,medium_airport,ARG,AR-U,Rawson
VDM,-40.8692,-63.0004,Gobernador Castello Airport,medium_airport,ARG,AR-R,Viedma / Carmen de Patagones
PMY,-42.7592,-65.1027,El Tehuelche Airport,medium_airport,ARG,AR-U,Puerto Madryn
PSS,-27.3858,-55.9707,Libertador Gral D Jose De San Martin Airport,medium_airport,ARG,AR-N,Posadas
LWN,40.75040054,43.85929871,Gyumri Shirak Airport,medium_airport,ARM,AM-SH,Gyumri
EVN,40.14730072,44.39590073,Zvartnots International Airport,large_airport,ARM,AM-ER,Yerevan
FTI,-14.2172,-169.425003,Fitiuta Airport,medium_airport,ASM,AS-U-A,Fitiuta Village
OFU,-14.1844,-169.669998,Ofu Village Airport,small_airport,ASM,AS-U-A,Ofu Village
PPG,-14.33100033,-170.71000669999998,Pago Pago International Airport,medium_airport,ASM,AS-U-A,Pago Pago
ANU,17.1367,-61.792702,V.C. Bird International Airport,medium_airport,ATG,AG-03,St. John's
BBQ,17.635799,-61.828602000000004,Codrington Airport,small_airport,ATG,AG-10,Codrington
MYI,-9.916669846,144.05499269999999,Murray Island Airport,small_airport,AUS,AU-QLD,Murray Island
MBH,-25.5133,152.71499599999999,Maryborough Airport,small_airport,AUS,AU-QLD,Maryborough
NRA,-34.70220184,146.51199340000002,Narrandera Airport,medium_airport,AUS,AU-NSW,Narrandera
NAA,-30.31920052,149.82699590000001,Narrabri Airport,medium_airport,AUS,AU-NSW,Narrabri
NTN,-17.684089999999998,141.069664,Normanton Airport,medium_airport,AUS,AU-QLD,Normanton
ZNE,-23.4178009,119.8030014,Newman Airport,medium_airport,AUS,AU-WA,Newman
OLP,-30.48500061,136.87699890000002,Olympic Dam Airport,small_airport,AUS,AU-SA,Olympic Dam
PUG,-32.50690079,137.71699519999999,Port Augusta Airport,medium_airport,AUS,AU-SA,
ADL,-34.945,138.53100600000002,Adelaide International Airport,large_airport,AUS,AU-SA,Adelaide
PMK,-18.75530052,146.5809937,Palm Island Airport,small_airport,AUS,AU-QLD,
PBO,-23.17110062,117.7450027,Paraburdoo Airport,medium_airport,AUS,AU-WA,Paraburdoo
DRW,-12.41469955,130.87699890000002,Darwin International Airport,medium_airport,AUS,AU-NT,Darwin
ONG,-16.66250038,139.1779938,Mornington Island Airport,small_airport,AUS,AU-QLD,
GOV,-12.26939964,136.8179932,Gove Airport,medium_airport,AUS,AU-NT,Nhulunbuy
KTA,-20.71220016,116.77300259999998,Karratha Airport,medium_airport,AUS,AU-WA,Karratha
KGI,-30.789400099999998,121.461998,Kalgoorlie Boulder Airport,medium_airport,AUS,AU-WA,Kalgoorlie
MGB,-37.74560165,140.78500369999998,Mount Gambier Airport,medium_airport,AUS,AU-SA,
AVV,-38.039398,144.46899399999998,Avalon Airport,medium_airport,AUS,AU-VIC,Melbourne
MOV,-22.05780029,148.07699590000001,Moranbah Airport,medium_airport,AUS,AU-QLD,Moranbah
PKE,-33.13140106,148.2389984,Parkes Airport,medium_airport,AUS,AU-NSW,Parkes
LVO,-28.61359978,122.42400359999999,Laverton Airport,small_airport,AUS,AU-WA,
UBB,-9.949999809,142.18299869999998,Mabuiag Island Airport,small_airport,AUS,AU-QLD,Mabuiag Island
ABX,-36.06779861,146.9579926,Albury Airport,medium_airport,AUS,AU-NSW,Albury
MKR,-26.61170006,118.54799650000001,Meekatharra Airport,medium_airport,AUS,AU-WA,
MIM,-36.90859985,149.901001,Merimbula Airport,medium_airport,AUS,AU-NSW,Merimbula
MGT,-12.09440041,134.89399719999997,Milingimbi Airport,small_airport,AUS,AU-NT,Milingimbi Island
MYA,-35.89780045,150.14399719999997,Moruya Airport,medium_airport,AUS,AU-NSW,Moruya
MNG,-12.05609989,134.2339935,Maningrida Airport,medium_airport,AUS,AU-NT,Maningrida
MCV,-16.44249916,136.0839996,McArthur River Mine Airport,small_airport,AUS,AU-NT,McArthur River Mine
MQL,-34.22919846,142.08599850000002,Mildura Airport,medium_airport,AUS,AU-VIC,Mildura
LST,-41.54529953,147.2140045,Launceston Airport,medium_airport,AUS,AU-TAS,Launceston
MBW,-37.97579956,145.102005,Melbourne Moorabbin Airport,medium_airport,AUS,AU-VIC,Melbourne
MEL,-37.673302,144.843002,Melbourne International Airport,large_airport,AUS,AU-VIC,Melbourne
MMG,-28.11610031,117.84200290000001,Mount Magnet Airport,medium_airport,AUS,AU-WA,
MRZ,-29.49889946,149.84500119999998,Moree Airport,medium_airport,AUS,AU-NSW,Moree
HBA,-42.83610153,147.5099945,Hobart International Airport,medium_airport,AUS,AU-TAS,Hobart
KNX,-15.77810001,128.7079926,Kununurra Airport,medium_airport,AUS,AU-WA,Kununurra
SYU,-10.20829964,142.8249969,Warraber Island Airport,small_airport,AUS,AU-QLD,Sue Islet
LEA,-22.23559952,114.0889969,Learmonth Airport,medium_airport,AUS,AU-WA,Exmouth
TMW,-31.08390045,150.8470001,Tamworth Airport,medium_airport,AUS,AU-NSW,Tamworth
WGA,-35.16529846,147.4660034,Wagga Wagga City Airport,medium_airport,AUS,AU-NSW,Wagga Wagga
XTG,-27.9864006,143.8110046,Thargomindah Airport,medium_airport,AUS,AU-QLD,
THG,-24.4939003,150.576004,Thangool Airport,medium_airport,AUS,AU-QLD,Biloela
TCA,-19.63439941,134.18299869999998,Tennant Creek Airport,medium_airport,AUS,AU-NT,Tennant Creek
TRO,-31.8885994,152.51400759999999,Taree Airport,medium_airport,AUS,AU-NSW,Taree
VCD,-16.4021244,131.0049744,Victoria River Downs Airport,small_airport,AUS,AU-NT,
SYD,-33.94609833,151.17700200000002,Sydney Kingsford Smith International Airport,large_airport,AUS,AU-NSW,Sydney
LER,-27.84329987,120.70300290000002,Leinster Airport,medium_airport,AUS,AU-WA,
WYA,-33.05889893,137.51400759999999,Whyalla Airport,medium_airport,AUS,AU-SA,Whyalla
NTL,-32.79499817,151.8339996,Newcastle Airport,medium_airport,AUS,AU-NSW,Williamtown
WUN,-26.62919998,120.2210007,Wiluna Airport,medium_airport,AUS,AU-WA,
WOL,-34.5611,150.789001,Shellharbour Airport,medium_airport,AUS,AU-NSW,
WIN,-22.36359978,143.08599850000002,Winton Airport,medium_airport,AUS,AU-QLD,
BWT,-40.99890137,145.73100280000003,Wynyard Airport,medium_airport,AUS,AU-TAS,Burnie
OKR,-9.752801,143.405673,Yorke Island Airport,small_airport,AUS,AU-QLD,Yorke Island
WNR,-25.41309929,142.6670074,Windorah Airport,medium_airport,AUS,AU-QLD,
PLO,-34.605300899999996,135.88000490000002,Port Lincoln Airport,medium_airport,AUS,AU-SA,Port Lincoln
SRN,-42.15499878,145.2920074,Strahan Airport,small_airport,AUS,AU-TAS,
MJK,-25.89389992,113.57700349999999,Shark Bay Airport,medium_airport,AUS,AU-WA,Denham
PXH,-29.715999999999998,135.5244,Prominent Hill Airport,small_airport,AUS,AU-SA,OZ Minerals Prominent Hill Mine
EDR,-14.896451,141.60908,Pormpuraaw Airport,small_airport,AUS,AU-QLD,Pormpuraaw
PQQ,-31.43580055,152.86300659999998,Port Macquarie Airport,medium_airport,AUS,AU-NSW,Port Macquarie
PTJ,-38.31809998,141.470993,Portland Airport,medium_airport,AUS,AU-VIC,
PHE,-20.37779999,118.6259995,Port Hedland International Airport,medium_airport,AUS,AU-WA,Port Hedland
PER,-31.94029999,115.96700290000001,Perth International Airport,large_airport,AUS,AU-WA,Perth
UMR,-31.14419937,136.81700130000002,Woomera Airfield,small_airport,AUS,AU-SA,Woomera
SBR,-9.378330231,142.625,Saibai Island Airport,small_airport,AUS,AU-QLD,Saibai Island
ULP,-26.61219978,144.253006,Quilpie Airport,medium_airport,AUS,AU-QLD,
RAM,-12.35639954,134.897995,Ramingining Airport,small_airport,AUS,AU-NT,
RMA,-26.54500008,148.7749939,Roma Airport,medium_airport,AUS,AU-QLD,Roma
RTS,-32.006699,115.540001,Rottnest Island Airport,small_airport,AUS,AU-WA,
CBR,-35.30690002,149.19500730000001,Canberra International Airport,large_airport,AUS,AU-ACT,Canberra
CFS,-30.320601,153.115997,Coffs Harbour Airport,medium_airport,AUS,AU-NSW,Coffs Harbour
DBO,-32.21670151,148.5749969,Dubbo City Regional Airport,medium_airport,AUS,AU-NSW,Dubbo
SGO,-28.04969978,148.59500119999998,St George Airport,small_airport,AUS,AU-QLD,
RCM,-20.70190048,143.1150055,Richmond Airport,small_airport,AUS,AU-QLD,
LRE,-23.43420029,144.27999880000002,Longreach Airport,medium_airport,AUS,AU-QLD,Longreach
DMD,-17.9403,138.82200600000002,Doomadgee Airport,small_airport,AUS,AU-QLD,
LSY,-28.83029938,153.2599945,Lismore Airport,medium_airport,AUS,AU-NSW,Lismore
ISA,-20.66390038,139.4889984,Mount Isa Airport,medium_airport,AUS,AU-QLD,Mount Isa
MCY,-26.6033,153.091003,Sunshine Coast Airport,medium_airport,AUS,AU-QLD,Maroochydore
MKY,-21.17169952,149.17999269999999,Mackay Airport,medium_airport,AUS,AU-QLD,Mackay
BNK,-28.83390045,153.56199650000002,Ballina Byron Gateway Airport,medium_airport,AUS,AU-NSW,Ballina
GIC,-9.232780457,142.2180023,Boigu Airport,small_airport,AUS,AU-QLD,
OKY,-27.41139984,151.7350006,Oakey Airport,medium_airport,AUS,AU-QLD,
BQL,-22.91329956,139.8999939,Boulia Airport,medium_airport,AUS,AU-QLD,
PPP,-20.49500084,148.55200200000002,Proserpine Whitsunday Coast Airport,medium_airport,AUS,AU-QLD,Proserpine
ROK,-23.38190079,150.4750061,Rockhampton Airport,medium_airport,AUS,AU-QLD,Rockhampton
BME,-17.94470024,122.2320023,Broome International Airport,medium_airport,AUS,AU-WA,Broome
BHS,-33.40940094,149.65199280000002,Bathurst Airport,medium_airport,AUS,AU-NSW,Bathurst
TSV,-19.25250053,146.7649994,Townsville Airport,medium_airport,AUS,AU-QLD,Townsville
BLT,-23.60309982,148.8070068,Blackwater Airport,medium_airport,AUS,AU-QLD,
BDB,-24.90390015,152.31900019999998,Bundaberg Airport,medium_airport,AUS,AU-QLD,Bundaberg
WEI,-12.67860031,141.9250031,Weipa Airport,medium_airport,AUS,AU-QLD,Weipa
BUC,-17.74860001,139.5339966,Burketown Airport,small_airport,AUS,AU-QLD,
BRK,-30.03919983,145.95199580000002,Bourke Airport,medium_airport,AUS,AU-NSW,
BEU,-24.34609985,139.46000669999998,Bedourie Airport,medium_airport,AUS,AU-QLD,
HTI,-20.35810089,148.95199590000001,Hamilton Island Airport,medium_airport,AUS,AU-QLD,Hamilton Island
ALH,-34.94329834,117.8089981,Albany Airport,medium_airport,AUS,AU-WA,Albany
GYL,-16.6369,128.451004,Argyle Airport,small_airport,AUS,AU-WA,
ARM,-30.52809906,151.6170044,Armidale Airport,medium_airport,AUS,AU-NSW,Armidale
AUU,-13.354067,141.72065,Aurukun Airport,small_airport,AUS,AU-QLD,Aurukun
AYQ,-25.1861,130.975998,Ayers Rock Connellan Airport,medium_airport,AUS,AU-NT,Ayers Rock
ABM,-10.9508,142.459,Northern Peninsula Airport,small_airport,AUS,AU-QLD,Bamaga
BCI,-23.56529999,145.3070068,Barcaldine Airport,medium_airport,AUS,AU-QLD,Barcaldine
WTB,-27.558332,151.793335,Toowoomba Wellcamp Airport,medium_airport,AUS,AU-QLD,Toowoomba
ASP,-23.80669975,133.90199280000002,Alice Springs Airport,medium_airport,AUS,AU-NT,Alice Springs
BNE,-27.38419914,153.1170044,Brisbane International Airport,large_airport,AUS,AU-QLD,Brisbane
OOL,-28.164400099999998,153.50500490000002,Gold Coast Airport,medium_airport,AUS,AU-QLD,Gold Coast
BKQ,-24.42779922,145.4290009,Blackall Airport,medium_airport,AUS,AU-QLD,Blackall
CNS,-16.88579941,145.75500490000002,Cairns International Airport,medium_airport,AUS,AU-QLD,Cairns
CTL,-26.41329956,146.26199340000002,Charleville Airport,medium_airport,AUS,AU-QLD,Charleville
BVI,-25.89749908,139.34800719999998,Birdsville Airport,medium_airport,AUS,AU-QLD,
BHQ,-32.00139999,141.4720001,Broken Hill Airport,medium_airport,AUS,AU-NSW,Broken Hill
BDD,-10.14999962,142.1734,Badu Island Airport,small_airport,AUS,AU-QLD,
XMY,-9.901109695,142.776001,Yam Island Airport,small_airport,AUS,AU-QLD,Yam Island
CAZ,-31.53829956,145.7940063,Cobar Airport,medium_airport,AUS,AU-NSW,
CPD,-29.04000092,134.720993,Coober Pedy Airport,medium_airport,AUS,AU-SA,
HID,-10.58640003,142.28999330000002,Horn Island Airport,medium_airport,AUS,AU-QLD,Horn Island
HOK,-18.33670044,130.63800049999998,Hooker Creek Airport,small_airport,AUS,AU-NT,Lajamanu
MHU,-37.04750061,147.3339996,Mount Hotham Airport,medium_airport,AUS,AU-VIC,Mount Hotham
HGD,-20.81500053,144.2250061,Hughenden Airport,small_airport,AUS,AU-QLD,
JCK,-20.66830063,141.72300719999998,Julia Creek Airport,small_airport,AUS,AU-QLD,
KAX,-27.692813,114.259169,Kalbarri Airport,small_airport,AUS,AU-WA,Kalbarri
KNS,-39.87749863,143.878006,King Island Airport,medium_airport,AUS,AU-TAS,
HVB,-25.31889915,152.88000490000002,Hervey Bay Airport,medium_airport,AUS,AU-QLD,Hervey Bay
KFG,-17.43190002,130.80799869999998,Kalkgurung Airport,small_airport,AUS,AU-NT,
KWM,-15.48560047,141.7510071,Kowanyama Airport,medium_airport,AUS,AU-QLD,Kowanyama
KGC,-35.71390152,137.5209961,Kingscote Airport,medium_airport,AUS,AU-SA,
KUG,-10.22500038,142.2180023,Kubin Airport,small_airport,AUS,AU-QLD,Moa Island
LNO,-28.87809944,121.3150024,Leonora Airport,medium_airport,AUS,AU-WA,Leonora
LEL,-12.49890041,135.80599980000002,Lake Evella Airport,small_airport,AUS,AU-NT,
LDH,-31.53829956,159.07699590000001,Lord Howe Island Airport,small_airport,AUS,AU-NSW,Lord Howe Island
IRG,-12.7869,143.304993,Lockhart River Airport,medium_airport,AUS,AU-QLD,Lockhart River
KRB,-17.45669937,140.83000180000002,Karumba Airport,small_airport,AUS,AU-QLD,
LHG,-29.45669937,147.9839935,Lightning Ridge Airport,medium_airport,AUS,AU-NSW,
GFF,-34.25080109,146.06700130000002,Griffith Airport,medium_airport,AUS,AU-NSW,Griffith
GLT,-23.869699,151.223007,Gladstone Airport,medium_airport,AUS,AU-QLD,Gladstone
CNC,-10.05000019,143.07000730000001,Coconut Island Airport,small_airport,AUS,AU-QLD,
CNJ,-20.66860008,140.5039978,Cloncurry Airport,medium_airport,AUS,AU-QLD,Cloncurry
CED,-32.13059998,133.7100067,Ceduna Airport,medium_airport,AUS,AU-SA,
CKW,-22.3543,119.6426,Graeme Rowley Aerodrome,small_airport,AUS,AU-WA,Christmas Creek Mine
CTN,-15.44470024,145.18400569999997,Cooktown Airport,medium_airport,AUS,AU-QLD,
CMA,-28.03000069,145.621994,Cunnamulla Airport,medium_airport,AUS,AU-QLD,
CNB,-30.98329926,148.3760071,Coonamble Airport,medium_airport,AUS,AU-NSW,
GTE,-13.97500038,136.46000669999998,Groote Eylandt Airport,medium_airport,AUS,AU-NT,Groote Eylandt
CUQ,-13.761133,143.113311,Coen Airport,medium_airport,AUS,AU-QLD,Coen
NLF,-9.583330154,143.7669983,Darnley Island Airport,small_airport,AUS,AU-QLD,Darnley Island
DPO,-41.16970062,146.42999269999999,Devonport Airport,medium_airport,AUS,AU-TAS,Devonport
ELC,-12.01939964,135.5709991,Elcho Island Airport,medium_airport,AUS,AU-NT,Elcho Island
EMD,-23.56749916,148.1790009,Emerald Airport,medium_airport,AUS,AU-QLD,Emerald
EPR,-33.684399,121.822998,Esperance Airport,medium_airport,AUS,AU-WA,Esperance
FLS,-40.09170151,147.9929962,Flinders Island Airport,small_airport,AUS,AU-TAS,Flinders Island
GET,-28.796101,114.707001,Geraldton Airport,medium_airport,AUS,AU-WA,Geraldton
OOM,-36.30059814,148.973999,Cooma Snowy Mountains Airport,medium_airport,AUS,AU-NSW,Cooma
CVQ,-24.880211,113.67173999999999,Carnarvon Airport,medium_airport,AUS,AU-WA,Carnarvon
MEB,-37.7281,144.901993,Melbourne Essendon Airport,medium_airport,AUS,AU-VIC,Melbourne
GRZ,46.99110031,15.43959999,Graz Airport,medium_airport,AUT,AT-6,Graz
INN,47.260201,11.344000000000001,Innsbruck Airport,medium_airport,AUT,AT-7,Innsbruck
KLU,46.642502,14.3377,Klagenfurt Airport,medium_airport,AUT,AT-2,Klagenfurt am Wörthersee
LNZ,48.2332,14.1875,Linz Hörsching Airport,medium_airport,AUT,AT-4,Linz
SZG,47.79330063,13.00430012,Salzburg Airport,medium_airport,AUT,AT-5,Salzburg
VIE,48.11029816,16.56970024,Vienna International Airport,large_airport,AUT,AT-9,Vienna
GYD,40.46749878,50.04669952,Heydar Aliyev International Airport,large_airport,AZE,AZ-BA,Baku
ZTU,41.562222,46.667221000000005,Zaqatala International Airport,small_airport,AZE,AZ-ZAQ,Zaqatala
LLK,38.74639893,48.81800079,Lankaran International Airport,small_airport,AZE,AZ-LA,Lankaran
KVD,40.73770142,46.31760025,Ganja Airport,medium_airport,AZE,AZ-GA,Ganja
GBB,40.826667,47.7125,Gabala International Airport,medium_airport,AZE,AZ-QAB,Gabala
NAJ,39.18880081,45.45840073,Nakhchivan Airport,medium_airport,AZE,AZ-NX,Nakhchivan
KRE,-2.544772,30.094575,Kirundo Airport,small_airport,BDI,BI-KI,Kirundo
BJM,-3.3240199089999996,29.31850052,Bujumbura International Airport,medium_airport,BDI,BI-BM,Bujumbura
LGG,50.63740158,5.443220139,Liège Airport,large_airport,BEL,BE-WLG,Liège
OST,51.19889832,2.862220049,Ostend-Bruges International Airport,medium_airport,BEL,BE-VWV,Ostend
CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport,large_airport,BEL,BE-WHT,Brussels
BRU,50.90140152,4.48443985,Brussels Airport,large_airport,BEL,BE-BRU,Brussels
ANR,51.18939972,4.460279942,Antwerp International Airport (Deurne),medium_airport,BEL,BE-VAN,Antwerp
COO,6.357230186000001,2.384350061,Cadjehoun Airport,medium_airport,BEN,BJ-AQ,Cotonou
OUA,12.3532,-1.51242,Ouagadougou Airport,large_airport,BFA,BF-KAD,Ouagadougou
BOY,11.16009998,-4.33096981,Bobo Dioulasso Airport,medium_airport,BFA,BF-HOU,Bobo Dioulasso
CXB,21.45219994,91.96389771,Cox's Bazar Airport,medium_airport,BGD,BD-2,Cox's Bazar
CGP,22.24959946,91.81330109,Shah Amanat International Airport,medium_airport,BGD,BD-2,Chittagong
JSR,23.18379974,89.16079712,Jessore Airport,medium_airport,BGD,BD-4,Jashahor
RJH,24.43720055,88.61650085,Shah Mokhdum Airport,medium_airport,BGD,BD-5,Rajshahi
SPD,25.75919914,88.9088974,Saidpur Airport,medium_airport,BGD,BD-5,Saidpur
ZYL,24.96319962,91.86679840000001,Osmany International Airport,medium_airport,BGD,BD-6,Sylhet
BZL,22.801000600000002,90.30120087,Barisal Airport,medium_airport,BGD,BD-1,Barisal
DAC,23.843347,90.39778299999999,Hazrat Shahjalal International Airport,large_airport,BGD,BD-3,Dhaka
BOJ,42.56959915,27.51519966,Burgas Airport,large_airport,BGR,BG-02,Burgas
VAR,43.232101,27.8251,Varna Airport,large_airport,BGR,BG-03,Varna
SOF,42.69669342,23.41143608,Sofia Airport,large_airport,BGR,BG-23,Sofia
PDV,42.067799,24.8508,Plovdiv International Airport,medium_airport,BGR,BG-16,Plovdiv
BAH,26.27079964,50.63359833,Bahrain International Airport,large_airport,BHR,BH-15,Manama
IGA,20.97500038,-73.66690063,Inagua Airport,medium_airport,BHS,BS-IN,Matthew Town
NAS,25.039,-77.466202,Lynden Pindling International Airport,large_airport,BHS,BS-NP,Nassau
TZN,24.158701,-77.589798,Congo Town Airport,medium_airport,BHS,BS-KB,Andros
MHH,26.5114,-77.08350300000001,Leonard M Thompson International Airport,medium_airport,BHS,BS-MH,Marsh Harbour
SAQ,25.05380058,-78.04900359999999,San Andros Airport,medium_airport,BHS,BS-NB,Andros Island
AXP,22.44179916,-73.97090149,Spring Point Airport,medium_airport,BHS,BS-AC,Spring Point
