Itinerary,Flight_legs,Pax
I296,F188,60
I297,F104-F189,23
I298,F188-F189,36
I299,F189,37
I300,F190,24
I301,F191,96
I302,F192,96
I303,F193,96
I304,F86-F126-F194,2
I305,F194,62
I306,F57-F159-F195,13
I307,F195,83
I308,F196,66
I309,F197,50
I310,F154-F198,32
I311,F198,49
I312,F98-F199,43
I313,F199,53
I314,F67-F200,17
I315,F200,79
I316,F201,96
I317,F202,96
I318,F203,96
I319,F204,53
I320,F112-F205,31
I321,F205,36
I322,F124-F206,20
I323,F175-F206,21
I324,F206,55
I325,F35-F207,31
I326,F72-F207,6
I327,F80-F207,15
I328,F207,44
I329,F208,35
I330,F209,35
I331,F175-F210,12
I332,F210,84
I333,F211,96
I334,F26-F212,38
I335,F212,58
I336,F73-F213,35
I337,F213,61
I338,F81-F214,4
I339,F214,92
I340,F215,96
I341,F46-F216,26
I342,F62-F216,18
I343,F216,52
I344,F24-F217,16
I345,F26-F217,28
I346,F196-F217,30
I347,F217,22
I348,F42-F218,25
I349,F170-F218,33
I350,F218,38
I351,F182-F219,34
I352,F184-F219,43
I353,F219,19
I354,F170-F220,28
I355,F172-F220,17
I356,F220,51
I357,F32-F221,24
I358,F113-F221,36
I359,F182-F221,29
I360,F221,7
I361,F222,96
I362,F223,60
I363,F224,96
I364,F225,96
I365,F226,96
I366,F227,52
I367,F76-F228,26
I368,F86-F126-F136-F228,1
I369,F228,69
I370,F113-F229,20
I371,F175-F229,12
I372,F209-F229,41
I373,F229,16
I374,F28-F230,31
I375,F41-F230,20
I376,F79-F230,28
I377,F86-F126-F136-F230,1
I378,F230,16
I379,F231,61
I380,F190-F232,37
I381,F232,59
I382,F124-F233,16
I383,F233,80
I384,F234,96
I385,F40-F235,45
I386,F133-F235,18
I387,F170-F235,11
I388,F235,22
I389,F17-F236,18
I390,F33-F236,19
I391,F55-F236,23
I392,F80-F236,8
I393,F82-F236,18
I394,F236,10
I395,F57-F237,29
I396,F96-F237,41
I397,F237,26
I398,F48-F238,19
I399,F194-F238,32
I400,F154-F198-F238,15
I401,F238,30
I402,F239,96
I403,F240,96
I404,F241,96
I405,F41-F242,12
I406,F242,51
I407,F12-F243,19
I408,F88-F243,33
I409,F242-F243,33
I410,F243,7
I411,F243-F244,4
I412,F244,92
I413,F245,96
I414,F246,96
I415,F208-F247,42
I416,F247,21
I417,F190-F248,20
I418,F204-F248,43
I419,F248,33
I420,F100-F249,11
I421,F133-F249,11
I422,F249,74
I423,F39-F250,32
I424,F79-F250,12
I425,F250,52
I426,F32-F251,10
I427,F113-F251,16
I428,F223-F251,36
I429,F251,34
I430,F252,44
I431,F252-F253,30
I432,F253,66
I433,F254,96
I434,F80-F255,4
I435,F247-F255,19
I436,F255,73
I437,F04-F256,32
I438,F205-F256,29
I439,F209-F256,20
I440,F256,10
I441,F76-F257,14
I442,F134-F257,44
I443,F136-F257,17
I444,F257,21
I445,F13-F258,13
I446,F22-F258,15
I447,F25-F258,16
I448,F41-F77-F258,15
I449,F129-F258,11
I450,F258,26
I451,F259,96
I452,F162-F260,19
I453,F260,43
I454,F40-F261,21
I455,F261,75
I456,F65-F262,39
I457,F169-F262,46
I458,F262,11
I459,F227-F263,44
I460,F252-F263,22
I461,F263,30
I462,F08-F264,30
I463,F65-F264,25
I464,F75-F264,39
I465,F264,2
I466,F265,96
I467,F123-F266,46
I468,F266,50
I469,F260-F267,34
I470,F267,62
I471,F79-F268,9
I472,F117-F268,19
I473,F268,68
I474,F208-F269,12
I475,F269,77
I476,F208-F269-F270,7
I477,F270,89
I478,F34-F271,33
I479,F271,63
I480,F197-F272,46
I481,F272,50
I482,F273,96
I483,F274,96
I484,F275,96
I485,F20-F276,32
I486,F276,64
I487,F17-F277,11
I488,F247-F277,14
I489,F277,71
I490,F19-F278,1
I491,F49-F278,14
I492,F65-F278,13
I493,F00-F94-F278,11
I494,F177-F278,40
I495,F278,17
I496,F181-F279,34
I497,F229-F279,7
I498,F256-F279,5
I499,F279,50
I500,F280,96
I501,F112-F281,15
I502,F231-F281,35
I503,F281,46
I504,F10-F282,5
I505,F162-F282,9
I506,F282,82
I507,F17-F283,9
I508,F33-F283,11
I509,F55-F283,10
I510,F63-F283,11
I511,F112-F283,7
I512,F190-F283,15
I513,F283,33
I514,F48-F284,7
I515,F284,85
I516,F89-F285,40
I517,F92-F285,15
I518,F142-F285,20
I519,F48-F284-F285,4
I520,F285,17
