Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I22,I22,F19,F19,128,DFW,LAX,65566.0,74489.0,0.0,0.0,18:12 -> 20:41
I23,I23,F20,F20,160,LAS,ORD,19980.0,30919.0,0.0,0.0,05:33 -> 08:35
I24,I24,F21,F21,160,ORD,MCO,40396.0986553315,47686.0986553315,1847.0986553315015,5044.8,11:13 -> 13:14
I25,I25,F22,F22,160,MCO,ORD,76891.0,84181.0,0.0,0.0,21:21 -> 23:23
I26,I26,F23,F23,67,ATL,IAH,20418.736574304025,25399.736574304025,438.73657430402454,501.8,05:40 -> 07:03
I27,I27,F23-F24,F23-F24,29,ATL,CLT,20418.736574304025,61465.45307635522,8410.453076355217,4163.4,05:40 -> 17:04
I28,I28,F24,F24,37,IAH,CLT,54868.45307635522,61465.45307635522,8410.453076355217,5312.0,15:14 -> 17:04
I29,I29,F25,F25,64,CLT,MDW,63265.45307635522,67495.45307635522,7671.4530763552175,8380.9,17:34 -> 18:44
I30,I30,F26,F26,128,LGA,DFW,23684.622588692946,33723.622588692946,3704.622588692946,8094.5,06:34 -> 09:22
I31,I31,F27,F27,128,DFW,IAD,35523.622588692946,43992.622588692946,1243.622588692946,2717.3,09:52 -> 12:13
I32,I32,F28,F28,128,IAD,MIA,67603.88236824308,74290.88236824308,2655.882368243081,5803.0,18:46 -> 20:38
I33,I33,F29,F29,160,DEN,IAD,20160.0,30649.0,0.0,0.0,05:36 -> 08:30
I34,I34,F30,F30,160,IAD,MIA,55575.0,62262.0,0.0,0.0,15:26 -> 17:17
I35,I35,F31,F31,160,MIA,IAD,79664.78618248652,86351.78618248652,475.7861824865249,1299.5,22:07 -> 23:59
I36,I36,F32,F32,128,FLL,MDW,20460.0,28920.0,0.0,0.0,05:41 -> 08:02
I37,I37,F33,F33,128,MDW,ATL,35966.0,40245.0,0.0,0.0,09:59 -> 11:10
I38,I38,F34,F34,88,ATL,JFK,81331.59421106434,86830.59421106434,14012.594211064337,21049.2,22:35 -> 00:07 (+1)
I39,I39,F35,F35,112,TPA,JFK,20940.0,28225.0,0.0,0.0,05:49 -> 07:50
I40,I40,F36,F36,160,JFK,ATL,57512.45196236183,63011.45196236183,1889.4519623618326,5160.5,15:58 -> 17:30
I41,I38,F37,F34,40,ATL,JFK,68396.0,73895.0,1077.0,735.4,18:59 -> 20:31
I41,I41,F37,F37,160,ATL,JFK,68396.0,73895.0,0.0,0.0,18:59 -> 20:31
I42,I21,F38,F18,40,PHL,DFW,20580.0,29994.0,300.0,204.8,05:43 -> 08:19
I42,I42,F38,F38,104,PHL,DFW,20580.0,29994.0,0.0,0.0,05:43 -> 08:19
I43,I43,F39,F39,160,DFW,PHL,37460.0,46874.0,0.0,0.0,10:24 -> 13:01
I44,I44,F40,F40,160,PHL,FLL,63939.0,71139.0,0.0,0.0,17:45 -> 19:45
I45,I45,F41,F41,160,FLL,PHL,72941.0,80141.0,0.0,0.0,20:15 -> 22:15
I46,I46,F42,F42,128,SFO,MSP,20820.0,32299.0,0.0,0.0,05:47 -> 08:58
I47,I47,F43,F43,128,MSP,DFW,46742.67805171792,52916.67805171792,9789.678051717921,21390.1,12:59 -> 14:41
I48,I48,F44,F44,128,DFW,ATL,71032.4209284161,76315.4209284161,2900.4209284161043,6337.3,19:43 -> 21:11
I49,I49,F45,F45,96,DFW,SLC,20700.0,27850.0,0.0,0.0,05:45 -> 07:44
I50,I50,F46,F46,96,SLC,DFW,32432.0,39582.0,0.0,0.0,09:00 -> 10:59
I51,I51,F38-F47,F38-F47,56,PHL,DCA,20580.0,65486.0,0.0,0.0,05:43 -> 18:11
I52,I52,F47,F47,40,DFW,DCA,56873.0,65486.0,0.0,0.0,15:47 -> 18:11
I53,I53,F48,F48,160,DAL,DEN,19860.0,24571.0,0.0,0.0,05:31 -> 06:49
I54,I54,F49,F49,160,DEN,SEA,47150.0,54552.0,0.0,0.0,13:05 -> 15:09
I55,I55,F50,F50,160,SEA,ORD,71244.0,83668.0,0.0,0.0,19:47 -> 23:14
I56,I56,F51,F51,128,MIA,CLT,20400.0,25120.0,0.0,0.0,05:40 -> 06:58
I57,I57,F52,F52,128,CLT,BOS,38488.0,43753.0,0.0,0.0,10:41 -> 12:09
I58,I58,F53,F53,128,BOS,CLT,79134.0,84399.0,0.0,0.0,21:58 -> 23:26
I59,I59,F54,F54,128,MDW,PHL,20220.0,25044.0,0.0,0.0,05:37 -> 06:57
I60,I60,F55,F55,78,PHL,CLT,56154.0,59398.0,0.0,0.0,15:35 -> 16:29
I61,I61,F56,F56,128,CLT,IAH,64913.0,71510.0,0.0,0.0,18:01 -> 19:51
I62,I62,F57,F57,38,DCA,ORD,30351.396731193014,34770.39673119302,9651.396731193017,6260.5,08:25 -> 09:39
I63,I63,F57-F58,F57-F58,41,DCA,ATL,30351.396731193014,56439.0,0.0,0.0,08:25 -> 15:40
I64,I64,F58,F58,55,ORD,ATL,52047.0,56439.0,0.0,0.0,14:27 -> 15:40
I65,I65,F59,F59,96,ATL,ORD,60490.0,64882.0,0.0,0.0,16:48 -> 18:01
I66,I66,F60,F60,96,ORD,ATL,80722.60081881484,85114.60081881484,11949.60081881484,19582.0,22:25 -> 23:38
I67,I67,F61,F61,128,CLT,JFK,29961.10864722061,33876.10864722061,9681.108647220608,21152.8,08:19 -> 09:24
I68,I68,F35-F62,F35-F62,26,TPA,CLT,20940.0,39591.10864722061,3117.108647220608,1383.4,05:49 -> 10:59
I69,I69,F62,F62,80,JFK,CLT,35676.10864722061,39591.10864722061,3117.108647220608,4256.7,09:54 -> 10:59
I70,I70,F35-F62-F63,F35-F62-F63,22,TPA,MDW,20940.0,60486.0,0.0,0.0,05:49 -> 16:48
I71,I29,F63,F25,32,CLT,MDW,56256.0,60486.0,662.0,361.6,15:37 -> 16:48
I71,I71,F63,F63,106,CLT,MDW,56256.0,60486.0,0.0,0.0,15:37 -> 16:48
I72,I72,F64,F64,128,MDW,JFK,69295.45307635522,74578.45307635522,3431.4530763552175,7497.6,19:14 -> 20:42
I73,I73,F65,F65,67,PDX,DFW,20760.0,32446.0,0.0,0.0,05:46 -> 09:00
I74,I74,F65-F66,F65-F66,61,PDX,JFK,20760.0,55327.0,0.0,0.0,05:46 -> 15:22
I75,I75,F66,F66,67,DFW,JFK,45274.0,55327.0,0.0,0.0,12:34 -> 15:22
I76,I76,F67,F67,62,TPA,ATL,20280.0,23223.0,0.0,0.0,05:38 -> 06:27
I77,I77,F68,F68,66,ATL,TPA,39416.59245523313,42359.59245523313,1432.592455233127,1614.0,10:56 -> 11:45
I78,I78,F68-F69,F68-F69,30,ATL,CLT,39416.59245523313,62496.0,0.0,0.0,10:56 -> 17:21
I79,I79,F69,F69,66,TPA,CLT,58815.0,62496.0,0.0,0.0,16:20 -> 17:21
I80,I80,F24-F70,F24-F70,30,IAH,MIA,54868.45307635522,77825.05787076819,4347.057870768185,2226.1,15:14 -> 21:37
I81,I81,F55-F70,F55-F70,50,PHL,MIA,56154.0,77825.05787076819,4347.057870768185,3710.2,15:35 -> 21:37
I82,I82,F70,F70,10,CLT,MIA,73105.05787076819,77825.05787076819,4347.057870768185,742.0,20:18 -> 21:37
I83,I83,F70-F71,F70-F71,6,CLT,DTW,73105.05787076819,87936.05787076819,1247.0578707681852,127.7,20:18 -> 00:25 (+1)
I84,I84,F71,F71,90,MIA,DTW,79625.05787076819,87936.05787076819,1247.0578707681852,1915.9,22:07 -> 00:25 (+1)
I85,I85,F72,F72,160,PHL,ORD,20220.0,25116.0,0.0,0.0,05:37 -> 06:58
I86,I86,F73,F73,160,ORD,PHL,53611.38116732218,58507.38116732218,4227.381167322179,11545.8,14:53 -> 16:15
I87,I87,F74,F74,160,PHL,MSP,60307.38116732218,67390.38116732218,1983.381167322179,5417.0,16:45 -> 18:43
I88,I88,F75,F75,160,MSP,LAX,69336.0,80437.0,0.0,0.0,19:15 -> 22:20
I89,I89,F76,F76,128,JFK,DFW,20700.0,30753.0,0.0,0.0,05:45 -> 08:32
I90,I90,F77,F77,128,DFW,LAX,42005.735464751844,50928.735464751844,6661.735464751844,14555.6,11:40 -> 14:08
I91,I91,F78,F78,128,LAX,DFW,72679.0,81602.0,0.0,0.0,20:11 -> 22:40
I92,I92,F79,F79,160,IAH,FLL,31359.15251984864,38338.15251984865,11199.152519848649,30587.1,08:42 -> 10:38
I93,I93,F80,F80,97,FLL,IAH,45707.0,52686.0,0.0,0.0,12:41 -> 14:38
I94,I94,F81,F81,160,IAH,DCA,76111.0,84845.0,0.0,0.0,21:08 -> 23:34
I95,I95,F82,F82,160,TPA,PHX,19980.0,32904.0,0.0,0.0,05:33 -> 09:08
I96,I96,F83,F83,82,PHX,IAH,44033.247390373166,51323.247390373166,2861.247390373166,4005.0,12:13 -> 14:15
I97,I97,F80-F84,F80-F84,63,FLL,ORD,45707.0,72544.0,0.0,0.0,12:41 -> 20:09
I98,I98,F83-F84,F83-F84,78,PHX,ORD,44033.247390373166,72544.0,0.0,0.0,12:13 -> 20:09
I99,I99,F84,F84,19,IAH,ORD,65839.0,72544.0,0.0,0.0,18:17 -> 20:09
