Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T14,F43,C18,MSP,DFW,46742.67805171792,52916.67805171792,6174.0,160,128,12:59 -> 14:41,02:43,1
T14,F44,C16,DFW,ATL,71032.4209284161,76315.4209284161,5283.0,160,128,19:43 -> 21:11,00:48,1
T15,F45,C19,DFW,SLC,20700.0,27850.0,7150.0,120,96,05:45 -> 07:44,,0
T15,F46,C19,SLC,DFW,32432.0,39582.0,7150.0,120,96,09:00 -> 10:59,,0
T15,F47,C18,DFW,DCA,56873.0,65486.0,8613.0,120,96,15:47 -> 18:11,,0
T16,F48,C20,DAL,DEN,19860.0,24571.0,4711.0,200,160,05:31 -> 06:49,,0
T16,F49,C20,DEN,SEA,47150.0,54552.0,7402.0,200,160,13:05 -> 15:09,,0
T16,F50,C20,SEA,ORD,71244.0,83668.0,12424.0,200,160,19:47 -> 23:14,,0
T17,F51,C21,MIA,CLT,20400.0,25120.0,4720.0,160,128,05:40 -> 06:58,,0
T17,F52,C21,CLT,BOS,38488.0,43753.0,5265.0,160,128,10:41 -> 12:09,,0
T17,F53,C21,BOS,CLT,79134.0,84399.0,5265.0,160,128,21:58 -> 23:26,,0
T18,F54,C22,MDW,PHL,20220.0,25044.0,4824.0,160,128,05:37 -> 06:57,,0
T18,F55,C11,PHL,CLT,56154.0,59398.0,3244.0,160,128,15:35 -> 16:29,,0
T18,F56,C23,CLT,IAH,64913.0,71510.0,6597.0,160,128,18:01 -> 19:51,,0
T19,F57,C24,DCA,ORD,30351.396731193014,34770.39673119302,4419.000000000004,120,96,08:25 -> 09:39,02:40,1
T19,F58,C24,ORD,ATL,52047.0,56439.0,4392.0,120,96,14:27 -> 15:40,,0
T19,F59,C24,ATL,ORD,60490.0,64882.0,4392.0,120,96,16:48 -> 18:01,,0
T19,F60,C24,ORD,ATL,80722.60081881484,85114.60081881484,4392.0,120,96,22:25 -> 23:38,03:19,1
T20,F61,C25,CLT,JFK,29961.10864722061,33876.10864722061,3914.9999999999964,160,128,08:19 -> 09:24,02:41,1
T20,F62,C25,JFK,CLT,35676.10864722061,39591.10864722061,3915.0,160,128,09:54 -> 10:59,00:51,2
T20,F63,C25,CLT,MDW,56256.0,60486.0,4230.0,160,160,15:37 -> 16:48,,0
T20,F64,C10,MDW,JFK,69295.45307635522,74578.45307635522,5283.0,160,128,19:14 -> 20:42,00:57,2
T21,F65,C26,PDX,DFW,20760.0,32446.0,11686.0,160,128,05:46 -> 09:00,,0
T21,F66,C19,DFW,JFK,45274.0,55327.0,10053.0,160,128,12:34 -> 15:22,,0
T22,F67,C27,TPA,ATL,20280.0,23223.0,2943.0,120,96,05:38 -> 06:27,,0
T22,F68,C27,ATL,TPA,39416.59245523313,42359.59245523313,2943.0,120,96,10:56 -> 11:45,00:23,1
T22,F69,C27,TPA,CLT,58815.0,62496.0,3681.0,120,96,16:20 -> 17:21,,0
T22,F70,C11,CLT,MIA,73105.05787076819,77825.05787076819,4720.0,120,96,20:18 -> 21:37,01:12,1
T22,F71,C07,MIA,DTW,79625.05787076819,87936.05787076819,8311.0,120,96,22:07 -> 00:25 (+1),00:20,2
T23,F72,C28,PHL,ORD,20220.0,25116.0,4896.0,200,160,05:37 -> 06:58,,0
T23,F73,C28,ORD,PHL,53611.38116732218,58507.38116732218,4896.0,200,160,14:53 -> 16:15,01:10,1
T23,F74,C22,PHL,MSP,60307.38116732218,67390.38116732218,7083.0,200,160,16:45 -> 18:43,00:33,2
T23,F75,C22,MSP,LAX,69336.0,80437.0,11101.0,200,160,19:15 -> 22:20,,0
T24,F76,C29,JFK,DFW,20700.0,30753.0,10053.0,160,128,05:45 -> 08:32,,0
T24,F77,C26,DFW,LAX,42005.735464751844,50928.735464751844,8923.0,160,128,11:40 -> 14:08,01:51,1
T24,F78,C30,LAX,DFW,72679.0,81602.0,8923.0,160,128,20:11 -> 22:40,,0
T25,F79,C31,IAH,FLL,31359.15251984864,38338.15251984865,6979.000000000007,200,160,08:42 -> 10:38,03:06,1
T25,F80,C31,FLL,IAH,45707.0,52686.0,6979.0,200,160,12:41 -> 14:38,,0
T25,F81,C23,IAH,DCA,76111.0,84845.0,8734.0,200,160,21:08 -> 23:34,,0
T26,F82,C32,TPA,PHX,19980.0,32904.0,12924.0,200,160,05:33 -> 09:08,,0
T26,F83,C32,PHX,IAH,44033.247390373166,51323.247390373166,7290.0,200,160,12:13 -> 14:15,00:47,1
T26,F84,C31,IAH,ORD,65839.0,72544.0,6705.0,200,160,18:17 -> 20:09,,0
T27,F85,C33,IAD,MDW,21000.0,25171.0,4171.0,120,96,05:50 -> 06:59,,0
T27,F86,C33,MDW,EWR,41338.0,46472.0,5134.0,120,96,11:28 -> 12:54,,0
T27,F87,C33,EWR,DEN,79834.0,91426.0,11592.0,120,96,22:10 -> 01:23 (+1),,0
T28,F88,C34,MCO,IAH,20580.0,26754.0,6174.0,160,128,05:43 -> 07:25,,0
T28,F89,C32,IAH,ORD,61462.0,68167.0,6705.0,160,128,17:04 -> 18:56,,0
T28,F90,C35,ORD,CLT,72786.78673586708,77124.78673586708,4338.0,160,128,20:13 -> 21:25,00:41,1
T29,F91,C36,MSP,ATL,20460.0,27025.0,6565.0,120,96,05:41 -> 07:30,,0
T29,F92,C36,ATL,MSP,29780.0,36345.0,6565.0,120,96,08:16 -> 10:05,,0
T29,F93,C36,MSP,BOS,75399.08100780711,83517.08100780711,8118.0,120,96,20:56 -> 23:11,02:00,1
