,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
337,I337,2,2,0%,2,2,0%
338,I338,696,44,94%,3,3,0%
339,I339,43,43,0%,2,2,0%
340,I340,2965,48,98%,2,2,0%
341,I341,2941,48,98%,3,3,0%
342,I342,2941,49,98%,3,3,0%
343,I343,2287,45,98%,2,2,0%
344,I344,1943,49,97%,3,3,0%
345,I345,902,50,94%,3,3,0%
346,I346,1767,50,97%,3,3,0%
347,I347,387,47,88%,2,2,0%
348,I348,653,32,95%,3,3,0%
349,I349,1267,48,96%,3,3,0%
350,I350,413,50,88%,2,2,0%
351,I351,1283,42,97%,3,3,0%
352,I352,748,46,94%,3,3,0%
353,I353,33,33,0%,2,2,0%
354,I354,1267,48,96%,3,3,0%
355,I355,439,49,89%,3,3,0%
356,I356,57,50,12%,2,2,0%
357,I357,2753,49,98%,3,3,0%
358,I358,1880,48,97%,3,3,0%
359,I359,3259,28,99%,3,3,0%
360,I360,89,46,48%,2,2,0%
361,I361,1637,50,97%,2,2,0%
362,I362,2221,16,99%,2,2,0%
363,I363,1090,45,96%,2,2,0%
364,I364,910,50,95%,2,2,0%
365,I365,790,49,94%,2,2,0%
366,I366,178,47,74%,2,2,0%
367,I367,306,49,84%,3,3,0%
368,I368,1912,49,97%,5,5,0%
369,I369,71,46,35%,2,2,0%
370,I370,1059,48,95%,3,3,0%
371,I371,1958,50,97%,3,3,0%
372,I372,1958,50,97%,3,3,0%
373,I373,5,5,0%,2,2,0%
374,I374,272,50,82%,3,3,0%
375,I375,873,46,95%,3,3,0%
376,I376,2135,50,98%,3,3,0%
377,I377,1912,49,97%,5,5,0%
378,I378,17,17,0%,2,2,0%
379,I379,2375,50,98%,2,2,0%
380,I380,2254,48,98%,3,3,0%
381,I381,1662,45,97%,2,2,0%
382,I382,1917,50,97%,3,3,0%
383,I383,1039,42,96%,2,2,0%
384,I384,424,50,88%,2,2,0%
385,I385,1296,39,97%,3,3,0%
386,I386,1329,50,96%,3,3,0%
387,I387,1635,43,97%,3,3,0%
388,I388,557,50,91%,2,2,0%
389,I389,1772,50,97%,3,3,0%
390,I390,1150,50,96%,3,3,0%
391,I391,1257,50,96%,3,3,0%
392,I392,910,49,95%,3,3,0%
393,I393,205,48,77%,3,3,0%
394,I394,70,47,33%,2,2,0%
395,I395,710,48,93%,3,3,0%
396,I396,27,27,0%,3,3,0%
397,I397,11,11,0%,2,2,0%
398,I398,1917,50,97%,3,3,0%
399,I399,143,50,65%,3,3,0%
400,I400,2962,50,98%,4,4,0%
401,I401,2,2,0%,2,2,0%
402,I402,2195,49,98%,2,2,0%
403,I403,1337,49,96%,2,2,0%
404,I404,866,48,94%,2,2,0%
405,I405,648,27,96%,3,3,0%
406,I406,528,50,91%,2,2,0%
407,I407,1259,41,97%,3,3,0%
408,I408,710,50,93%,3,3,0%
409,I409,891,50,94%,3,3,0%
410,I410,462,48,90%,2,2,0%
411,I411,415,50,88%,3,3,0%
412,I412,73,50,32%,2,2,0%
413,I413,17,17,0%,2,2,0%
414,I414,1660,50,97%,2,2,0%
415,I415,2378,40,98%,3,3,0%
416,I416,1544,8,99%,2,2,0%
417,I417,1767,34,98%,3,3,0%
418,I418,606,50,92%,3,3,0%
419,I419,183,50,73%,2,2,0%
420,I420,670,50,93%,3,3,0%
421,I421,684,50,93%,3,3,0%
422,I422,22,22,0%,2,2,0%
423,I423,2135,48,98%,3,3,0%
424,I424,2135,50,98%,3,3,0%
425,I425,60,26,57%,2,2,0%
426,I426,2639,49,98%,3,3,0%
427,I427,1595,49,97%,3,3,0%
428,I428,2956,49,98%,3,3,0%
429,I429,48,48,0%,2,2,0%
430,I430,1800,50,97%,2,2,0%
431,I431,2135,50,98%,3,3,0%
432,I432,1087,50,95%,2,2,0%
433,I433,986,50,95%,2,2,0%
434,I434,1087,50,95%,3,3,0%
435,I435,1163,50,96%,3,3,0%
436,I436,274,50,82%,2,2,0%
437,I437,405,50,88%,3,3,0%
438,I438,237,50,79%,3,3,0%
439,I439,1958,50,97%,3,3,0%
440,I440,47,47,0%,2,2,0%
441,I441,402,47,88%,3,3,0%
442,I442,618,50,92%,3,3,0%
443,I443,266,47,82%,3,3,0%
444,I444,161,50,69%,2,2,0%
445,I445,784,47,94%,3,3,0%
446,I446,545,48,91%,3,3,0%
447,I447,2592,50,98%,3,3,0%
448,I448,1293,50,96%,4,4,0%
449,I449,200,50,75%,3,3,0%
450,I450,14,14,0%,2,2,0%
451,I451,1913,41,98%,2,2,0%
452,I452,1523,46,97%,3,3,0%
453,I453,962,36,96%,2,2,0%
454,I454,910,50,95%,3,3,0%
455,I455,550,19,97%,2,2,0%
456,I456,636,50,92%,3,3,0%
457,I457,1774,50,97%,3,3,0%
458,I458,188,50,73%,2,2,0%
459,I459,356,47,87%,3,3,0%
460,I460,1800,49,97%,3,3,0%
461,I461,109,49,55%,2,2,0%
462,I462,167,47,72%,3,3,0%
463,I463,1152,48,96%,3,3,0%
464,I464,668,47,93%,3,3,0%
465,I465,8,8,0%,2,2,0%
466,I466,1913,41,98%,2,2,0%
467,I467,1573,46,97%,3,3,0%
468,I468,962,36,96%,2,2,0%
469,I469,1051,50,95%,3,3,0%
470,I470,407,45,89%,2,2,0%
471,I471,1660,50,97%,3,3,0%
472,I472,1943,50,97%,3,3,0%
473,I473,211,48,77%,2,2,0%
474,I474,2958,50,98%,3,3,0%
475,I475,649,48,93%,2,2,0%
476,I476,2968,44,99%,4,4,0%
477,I477,14,14,0%,2,2,0%
478,I478,336,45,87%,3,3,0%
479,I479,9,9,0%,2,2,0%
480,I480,2175,47,98%,3,3,0%
481,I481,4,4,0%,2,2,0%
482,I482,2550,46,98%,2,2,0%
483,I483,1257,48,96%,2,2,0%
484,I484,1156,42,96%,2,2,0%
485,I485,835,49,94%,3,3,0%
486,I486,428,48,89%,2,2,0%
487,I487,1772,50,97%,3,3,0%
488,I488,992,44,96%,3,3,0%
489,I489,285,45,84%,2,2,0%
490,I490,636,49,92%,3,3,0%
491,I491,586,49,92%,3,3,0%
492,I492,636,50,92%,3,3,0%
493,I493,1958,50,97%,4,4,0%
494,I494,1070,22,98%,3,3,0%
495,I495,52,47,10%,2,2,0%
496,I496,1908,48,97%,3,3,0%
497,I497,48,48,0%,3,3,0%
498,I498,178,45,75%,3,3,0%
499,I499,45,45,0%,2,2,0%
500,I500,2381,32,99%,2,2,0%
501,I501,1913,19,99%,3,3,0%
502,I502,1908,46,98%,3,3,0%
503,I503,1071,49,95%,2,2,0%
504,I504,2378,42,98%,3,3,0%
505,I505,1904,50,97%,3,3,0%
506,I506,790,49,94%,2,2,0%
507,I507,2611,50,98%,3,3,0%
508,I508,1765,49,97%,3,3,0%
509,I509,2179,50,98%,3,3,0%
510,I510,2386,50,98%,3,3,0%
511,I511,2956,48,98%,3,3,0%
512,I512,2750,48,98%,3,3,0%
513,I513,510,49,90%,2,2,0%
514,I514,1909,43,98%,3,3,0%
515,I515,290,44,85%,2,2,0%
516,I516,364,50,86%,3,3,0%
517,I517,1912,48,97%,3,3,0%
518,I518,444,50,89%,3,3,0%
519,I519,1267,47,96%,4,4,0%
520,I520,24,24,0%,2,2,0%
