Tail,Flight_ID,Crew_ID,From,To,SDT,SAT,Flight_time,Cruise_time,Distance(km),Capacity,Pax
T7,T7F2,C13,MBS,LFT,12:39,14:39,02:00,01:30,1639,240,200
T7,T7F3,C13,LFT,LIT,15:29,16:05,00:36,00:06,504,240,191
T7,T7F4,C13,LIT,BGR,16:46,19:40,02:54,02:24,2280,240,240
T8,T8F0,C14,OKC,AUS,05:40,06:22,00:42,00:12,578,210,175
T8,T8F1,C15,AUS,MBS,06:59,09:23,02:24,01:54,1908,210,197
T8,T8F2,C15,MBS,LFT,10:01,12:01,02:00,01:30,1639,210,127
T8,T8F3,C15,LFT,LIT,12:38,13:14,00:36,00:06,504,210,136
T9,T9F0,C16,MSY,AUS,05:37,06:31,00:54,00:24,713,210,192
T9,T9F1,C16,AUS,MBS,07:19,09:43,02:24,01:54,1908,210,130
T10,T10F0,C17,LIT,AUS,05:33,06:27,00:54,00:24,718,180,168
T10,T10F1,C18,AUS,MBS,07:08,09:32,02:24,01:54,1908,180,136
T10,T10F2,C18,MBS,LFT,10:05,12:05,02:00,01:30,1639,180,168
T10,T10F3,C18,LFT,JAX,12:35,13:47,01:12,00:42,989,180,111
T10,T10F4,C18,JAX,CID,14:22,16:16,01:54,01:24,1551,180,122
T10,T10F5,C18,CID,CLE,17:01,18:01,01:00,00:30,821,180,160
T11,T11F0,C19,AUS,MBS,05:38,08:02,02:24,01:54,1908,240,204
T11,T11F1,C19,MBS,LFT,08:34,10:34,02:00,01:30,1639,240,151
T11,T11F2,C19,LFT,LIT,11:15,11:51,00:36,00:06,504,240,206
T11,T11F3,C20,LIT,JAX,12:22,13:46,01:24,00:54,1093,240,186
T11,T11F4,C20,JAX,CID,14:17,16:11,01:54,01:24,1551,240,192
T11,T11F5,C20,CID,CVG,16:53,17:41,00:48,00:18,674,240,201
T12,T12F0,C21,TPA,AUS,05:36,07:30,01:54,01:24,1490,210,185
T12,T12F1,C21,AUS,MBS,08:01,10:25,02:24,01:54,1908,210,207
T12,T12F2,C21,MBS,LFT,11:00,13:00,02:00,01:30,1639,210,192
T12,T12F3,C22,LFT,LIT,13:40,14:16,00:36,00:06,504,210,197
T12,T12F4,C23,LIT,BWI,14:49,16:37,01:48,01:18,1466,210,170
T13,T13F0,C24,AUS,MBS,05:48,08:12,02:24,01:54,1908,180,138
T13,T13F1,C24,MBS,LFT,08:51,10:51,02:00,01:30,1639,180,171
T13,T13F2,C25,LFT,LIT,11:33,12:09,00:36,00:06,504,180,155
T13,T13F3,C25,LIT,JAX,12:47,14:11,01:24,00:54,1093,180,168
T13,T13F4,C25,JAX,CID,14:41,16:35,01:54,01:24,1551,180,119
T13,T13F5,C25,CID,CLE,17:07,18:07,01:00,00:30,821,180,141
T13,T13F6,C26,CLE,TPA,18:38,20:32,01:54,01:24,1495,180,132
T14,T14F0,C27,TUS,AUS,05:50,07:26,01:36,01:06,1280,210,156
T14,T14F1,C27,AUS,MBS,08:00,10:24,02:24,01:54,1908,210,198
T14,T14F2,C27,MBS,LFT,11:06,13:06,02:00,01:30,1639,210,186
T14,T14F3,C27,LFT,LIT,13:56,14:32,00:36,00:06,504,210,189
T14,T14F4,C28,LIT,JAX,15:21,16:45,01:24,00:54,1093,210,133
T14,T14F5,C29,JAX,CID,17:25,19:19,01:54,01:24,1551,210,142
T14,T14F6,C30,CID,SLC,19:56,22:02,02:06,01:36,1693,210,139
T15,T15F0,C31,SNA,AUS,05:31,07:55,02:24,01:54,1942,180,164
T15,T15F1,C31,AUS,MBS,08:27,10:51,02:24,01:54,1908,180,120
T15,T15F2,C32,MBS,LFT,11:26,13:26,02:00,01:30,1639,180,127
T15,T15F3,C33,LFT,LIT,14:11,14:47,00:36,00:06,504,180,140
T15,T15F4,C33,LIT,JAX,15:36,17:00,01:24,00:54,1093,180,173
T15,T15F5,C34,JAX,BWI,17:31,18:49,01:18,00:48,1068,180,162
T16,T16F0,C35,MSY,AUS,05:50,06:44,00:54,00:24,713,180,180
T16,T16F1,C35,AUS,MBS,07:18,09:42,02:24,01:54,1908,180,178
T16,T16F2,C35,MBS,LFT,10:24,12:24,02:00,01:30,1639,180,179
T16,T16F3,C35,LFT,LIT,13:07,13:43,00:36,00:06,504,180,176
T16,T16F4,C35,LIT,JAX,14:19,15:43,01:24,00:54,1093,180,131
T16,T16F5,C35,JAX,CID,16:13,18:07,01:54,01:24,1551,180,109
T16,T16F6,C35,CID,CLE,18:53,19:53,01:00,00:30,821,180,179
T17,T17F0,C36,LIT,AUS,05:35,06:29,00:54,00:24,718,180,128
T17,T17F1,C37,AUS,MBS,07:11,09:35,02:24,01:54,1908,180,115
T17,T17F2,C38,MBS,LFT,10:05,12:05,02:00,01:30,1639,180,153
T17,T17F3,C38,LFT,JAX,12:49,14:01,01:12,00:42,989,180,128
T17,T17F4,C38,JAX,CID,14:34,16:28,01:54,01:24,1551,180,166
T17,T17F5,C38,CID,CLE,17:02,18:02,01:00,00:30,821,180,170
T18,T18F0,C39,AUS,MBS,05:38,08:02,02:24,01:54,1908,210,143
T19,T19F0,C40,BWI,AUS,05:49,08:31,02:42,02:12,2157,210,207
T19,T19F1,C41,AUS,MBS,09:21,11:45,02:24,01:54,1908,210,181
T20,T20F0,C42,CVG,AUS,05:39,07:33,01:54,01:24,1541,210,158
T20,T20F1,C42,AUS,MBS,08:07,10:31,02:24,01:54,1908,210,127
T20,T20F2,C42,MBS,LFT,11:11,13:11,02:00,01:30,1639,210,149
T20,T20F3,C42,LFT,LIT,13:43,14:19,00:36,00:06,504,210,192
T20,T20F4,C42,LIT,CID,15:08,16:08,01:00,00:30,797,210,154
T21,T21F0,C43,SMF,AUS,05:39,08:39,03:00,02:30,2379,180,179
T21,T21F1,C43,AUS,MBS,09:26,11:50,02:24,01:54,1908,180,134
T21,T21F2,C43,MBS,LFT,12:23,14:23,02:00,01:30,1639,180,117
T21,T21F3,C43,LFT,LIT,15:00,15:36,00:36,00:06,504,180,142
T21,T21F4,C43,LIT,CID,16:15,17:15,01:00,00:30,797,180,175
T22,T22F0,C44,LFT,AUS,05:39,06:21,00:42,00:12,546,240,224
T22,T22F1,C44,AUS,MBS,06:54,09:18,02:24,01:54,1908,240,184
T22,T22F2,C44,MBS,LIT,10:03,11:33,01:30,01:00,1204,240,198
T22,T22F3,C44,LIT,JAX,12:13,13:37,01:24,00:54,1093,240,190
T22,T22F4,C44,JAX,CID,14:10,16:04,01:54,01:24,1551,240,156
T22,T22F5,C44,CID,SLC,16:47,18:53,02:06,01:36,1693,240,211
T23,T23F0,C45,MSN,AUS,05:42,07:42,02:00,01:30,1618,210,179
T23,T23F1,C45,AUS,MBS,08:32,10:56,02:24,01:54,1908,210,194
T23,T23F2,C45,MBS,LFT,11:28,13:28,02:00,01:30,1639,210,133
T23,T23F3,C45,LFT,LIT,14:05,14:41,00:36,00:06,504,210,143
T23,T23F4,C45,LIT,JAX,15:11,16:35,01:24,00:54,1093,210,131
T24,T24F0,C46,CVG,AUS,05:45,07:39,01:54,01:24,1541,210,164
T24,T24F1,C46,AUS,MBS,08:15,10:39,02:24,01:54,1908,210,192
T24,T24F2,C46,MBS,LFT,11:20,13:20,02:00,01:30,1639,210,162
T24,T24F3,C46,LFT,LIT,13:58,14:34,00:36,00:06,504,210,144
T24,T24F4,C46,LIT,JAX,15:09,16:33,01:24,00:54,1093,210,175
T24,T24F5,C46,JAX,BGR,17:14,19:38,02:24,01:54,1948,210,162
T25,T25F0,C47,AUS,MBS,05:36,08:00,02:24,01:54,1908,180,162
T25,T25F1,C47,MBS,LFT,08:42,10:42,02:00,01:30,1639,180,117
T25,T25F2,C48,LFT,LIT,11:32,12:08,00:36,00:06,504,180,126
T25,T25F3,C48,LIT,JAX,12:44,14:08,01:24,00:54,1093,180,111
T25,T25F4,C48,JAX,CID,14:41,16:35,01:54,01:24,1551,180,153
T25,T25F5,C49,CID,BGR,17:17,19:35,02:18,01:48,1872,180,122
T26,T26F0,C50,OKC,AUS,05:50,06:32,00:42,00:12,578,180,149
T26,T26F1,C51,AUS,MBS,07:18,09:42,02:24,01:54,1908,180,157
T26,T26F2,C52,MBS,LFT,10:22,12:22,02:00,01:30,1639,180,144
T26,T26F3,C52,LFT,LIT,13:07,13:43,00:36,00:06,504,180,168
T26,T26F4,C52,LIT,TPA,14:19,15:49,01:30,01:00,1187,180,154
T27,T27F0,C53,MSN,AUS,05:38,07:38,02:00,01:30,1618,210,170
T27,T27F1,C54,AUS,MBS,08:12,10:36,02:24,01:54,1908,210,177
T27,T27F2,C54,MBS,LFT,11:24,13:24,02:00,01:30,1639,210,197
T27,T27F3,C54,LFT,LIT,14:09,14:45,00:36,00:06,504,210,151
T27,T27F4,C55,LIT,OKC,15:17,15:53,00:36,00:06,495,210,132
T28,T28F0,C56,JAX,AUS,05:44,07:38,01:54,01:24,1533,180,109
T28,T28F1,C56,AUS,MBS,08:13,10:37,02:24,01:54,1908,180,132
T29,T29F0,C57,IAH,AUS,05:46,06:04,00:18,23:48,225,240,181
T29,T29F1,C57,AUS,MBS,06:52,09:16,02:24,01:54,1908,240,192
T29,T29F2,C58,MBS,LFT,10:02,12:02,02:00,01:30,1639,240,153
T29,T29F3,C58,LFT,LIT,12:34,13:10,00:36,00:06,504,240,217
T29,T29F4,C58,LIT,JAX,13:46,15:10,01:24,00:54,1093,240,216
T29,T29F5,C59,JAX,CID,15:59,17:53,01:54,01:24,1551,240,172
T29,T29F6,C60,CID,TUS,18:38,21:08,02:30,02:00,2017,240,184
T30,T30F0,C61,AUS,MBS,05:38,08:02,02:24,01:54,1908,180,144
T30,T30F1,C61,MBS,LFT,08:47,10:47,02:00,01:30,1639,180,132
T30,T30F2,C61,LFT,LIT,11:26,12:02,00:36,00:06,504,180,170
T30,T30F3,C61,LIT,JAX,12:44,14:08,01:24,00:54,1093,180,164
T30,T30F4,C61,JAX,CID,14:39,16:33,01:54,01:24,1551,180,166
T31,T31F0,C62,JAX,AUS,05:40,07:34,01:54,01:24,1533,240,214
T31,T31F1,C63,AUS,MBS,08:05,10:29,02:24,01:54,1908,240,149
T31,T31F2,C64,MBS,LFT,11:03,13:03,02:00,01:30,1639,240,190
T31,T31F3,C64,LFT,LIT,13:52,14:28,00:36,00:06,504,240,191
T31,T31F4,C65,LIT,CID,15:02,16:02,01:00,00:30,797,240,213
T31,T31F5,C65,CID,DLH,16:43,17:25,00:42,00:12,553,240,222
T32,T32F0,C66,MBS,AUS,05:30,07:54,02:24,01:54,1908,210,191
T32,T32F1,C66,AUS,LFT,08:43,09:25,00:42,00:12,546,210,129
T32,T32F2,C66,LFT,LIT,10:05,10:41,00:36,00:06,504,210,137
T33,T33F0,C67,CVG,AUS,05:45,07:39,01:54,01:24,1541,240,181
T33,T33F1,C67,AUS,MBS,08:10,10:34,02:24,01:54,1908,240,155
T33,T33F2,C68,MBS,LFT,11:18,13:18,02:00,01:30,1639,240,203
T33,T33F3,C68,LFT,LIT,13:58,14:34,00:36,00:06,504,240,203
T33,T33F4,C68,LIT,TUS,15:23,17:35,02:12,01:42,1758,240,206
T34,T34F0,C69,SLC,AUS,05:36,07:48,02:12,01:42,1747,210,198
T34,T34F1,C69,AUS,MBS,08:30,10:54,02:24,01:54,1908,210,129
T34,T34F2,C69,MBS,LFT,11:30,13:30,02:00,01:30,1639,210,163
T34,T34F3,C69,LFT,LIT,14:20,14:56,00:36,00:06,504,210,164
T35,T35F0,C70,MBS,AUS,05:46,08:10,02:24,01:54,1908,180,173
T35,T35F1,C70,AUS,LFT,08:58,09:40,00:42,00:12,546,180,156
T35,T35F2,C70,LFT,LIT,10:17,10:53,00:36,00:06,504,180,171
T35,T35F3,C70,LIT,JAX,11:43,13:07,01:24,00:54,1093,180,115
T35,T35F4,C70,JAX,CID,13:53,15:47,01:54,01:24,1551,180,164
T35,T35F5,C70,CID,TPA,16:26,18:38,02:12,01:42,1756,180,138
T36,T36F0,C71,MSY,AUS,05:33,06:27,00:54,00:24,713,180,174
T36,T36F1,C72,AUS,MBS,07:00,09:24,02:24,01:54,1908,180,138
T36,T36F2,C72,MBS,LFT,09:58,11:58,02:00,01:30,1639,180,138
T36,T36F3,C73,LFT,LIT,12:28,13:04,00:36,00:06,504,180,161
T36,T36F4,C73,LIT,JAX,13:47,15:11,01:24,00:54,1093,180,165
T36,T36F5,C74,JAX,BWI,15:41,16:59,01:18,00:48,1068,180,157
T37,T37F0,C75,LFT,AUS,05:41,06:23,00:42,00:12,546,210,184
T37,T37F1,C76,AUS,MBS,06:53,09:17,02:24,01:54,1908,210,155
T37,T37F2,C76,MBS,LIT,09:54,11:24,01:30,01:00,1204,210,196
T38,T38F0,C77,JAX,AUS,05:33,07:27,01:54,01:24,1533,240,164
T38,T38F1,C78,AUS,MBS,08:06,10:30,02:24,01:54,1908,240,216
T38,T38F2,C78,MBS,LFT,11:00,13:00,02:00,01:30,1639,240,179
T38,T38F3,C78,LFT,LIT,13:37,14:13,00:36,00:06,504,240,234
T38,T38F4,C78,LIT,CLE,14:48,16:18,01:30,01:00,1172,240,226
T39,T39F0,C79,TUS,AUS,05:36,07:12,01:36,01:06,1280,210,128
T39,T39F1,C80,AUS,MBS,07:57,10:21,02:24,01:54,1908,210,156
T39,T39F2,C80,MBS,LFT,11:00,13:00,02:00,01:30,1639,210,207
T39,T39F3,C80,LFT,LIT,13:47,14:23,00:36,00:06,504,210,205
T39,T39F4,C81,LIT,SMF,14:58,18:16,03:18,02:48,2643,210,179
T40,T40F0,C82,BWI,AUS,05:34,08:16,02:42,02:12,2157,240,180
T40,T40F1,C83,AUS,MBS,08:53,11:17,02:24,01:54,1908,240,235
T40,T40F2,C83,MBS,LFT,11:54,13:54,02:00,01:30,1639,240,174
T40,T40F3,C83,LFT,LIT,14:29,15:05,00:36,00:06,504,240,167
T40,T40F4,C84,LIT,SLC,15:48,18:06,02:18,01:48,1858,240,172
T41,T41F0,C85,AUS,MBS,05:34,07:58,02:24,01:54,1908,240,211
T41,T41F1,C85,MBS,LFT,08:45,10:45,02:00,01:30,1639,240,184
T41,T41F2,C85,LFT,LIT,11:19,11:55,00:36,00:06,504,240,184
T41,T41F3,C85,LIT,JAX,12:34,13:58,01:24,00:54,1093,240,201
T41,T41F4,C85,JAX,SNA,14:30,18:48,04:18,03:48,3410,240,205
T42,T42F0,C86,TUS,AUS,05:30,07:06,01:36,01:06,1280,210,158
T42,T42F1,C86,AUS,MBS,07:46,10:10,02:24,01:54,1908,210,161
T42,T42F2,C86,MBS,LFT,10:51,12:51,02:00,01:30,1639,210,163
T42,T42F3,C86,LFT,LIT,13:36,14:12,00:36,00:06,504,210,151
T42,T42F4,C86,LIT,BGR,14:47,17:41,02:54,02:24,2280,210,134
T43,T43F0,C87,LIT,AUS,05:44,06:38,00:54,00:24,718,210,184
T43,T43F1,C88,AUS,MBS,07:13,09:37,02:24,01:54,1908,210,204
T43,T43F2,C89,MBS,LFT,10:20,12:20,02:00,01:30,1639,210,190
T43,T43F3,C90,LFT,JAX,13:04,14:16,01:12,00:42,989,210,141
T43,T43F4,C90,JAX,CID,15:02,16:56,01:54,01:24,1551,210,155
T43,T43F5,C90,CID,CLE,17:40,18:40,01:00,00:30,821,210,138
T43,T43F6,C90,CLE,CVG,19:12,19:36,00:24,23:54,355,210,179
T44,T44F0,C91,IAH,AUS,05:33,05:51,00:18,23:48,225,240,165
T44,T44F1,C91,AUS,MBS,06:41,09:05,02:24,01:54,1908,240,218
T44,T44F2,C91,MBS,LFT,09:54,11:54,02:00,01:30,1639,240,173
T44,T44F3,C91,LFT,LIT,12:39,13:15,00:36,00:06,504,240,159
T44,T44F4,C91,LIT,OKC,14:00,14:36,00:36,00:06,495,240,153
T45,T45F0,C92,SNA,AUS,05:33,07:57,02:24,01:54,1942,240,238
T45,T45F1,C92,AUS,MBS,08:28,10:52,02:24,01:54,1908,240,170
T45,T45F2,C92,MBS,LFT,11:34,13:34,02:00,01:30,1639,240,144
T45,T45F3,C92,LFT,LIT,14:22,14:58,00:36,00:06,504,240,195
T45,T45F4,C92,LIT,JAX,15:42,17:06,01:24,00:54,1093,240,212
T45,T45F5,C92,JAX,CID,17:44,19:38,01:54,01:24,1551,240,154
T45,T45F6,C92,CID,SMF,20:14,23:26,03:12,02:42,2546,240,178
T46,T46F0,C93,LFT,AUS,05:33,06:15,00:42,00:12,546,180,146
T46,T46F1,C93,AUS,MBS,06:52,09:16,02:24,01:54,1908,180,146
T46,T46F2,C93,MBS,LIT,09:51,11:21,01:30,01:00,1204,180,172
T46,T46F3,C93,LIT,JAX,12:00,13:24,01:24,00:54,1093,180,113
T46,T46F4,C93,JAX,CID,13:58,15:52,01:54,01:24,1551,180,128
T46,T46F5,C94,CID,SMF,16:42,19:54,03:12,02:42,2546,180,149
T47,T47F0,C95,MSY,AUS,05:38,06:32,00:54,00:24,713,180,161
T47,T47F1,C95,AUS,MBS,07:13,09:37,02:24,01:54,1908,180,129
T47,T47F2,C95,MBS,LFT,10:11,12:11,02:00,01:30,1639,180,149
T47,T47F3,C96,LFT,LIT,12:44,13:20,00:36,00:06,504,180,119
T47,T47F4,C97,LIT,JAX,14:08,15:32,01:24,00:54,1093,180,135
T47,T47F5,C97,JAX,CVG,16:19,17:31,01:12,00:42,989,180,142
T48,T48F0,C98,MSY,AUS,05:46,06:40,00:54,00:24,713,240,191
T48,T48F1,C99,AUS,MBS,07:30,09:54,02:24,01:54,1908,240,175
T48,T48F2,C99,MBS,LFT,10:38,12:38,02:00,01:30,1639,240,236
T48,T48F3,C100,LFT,LIT,13:23,13:59,00:36,00:06,504,240,173
T48,T48F4,C101,LIT,JAX,14:48,16:12,01:24,00:54,1093,240,149
T48,T48F5,C101,JAX,CLE,16:53,18:23,01:30,01:00,1214,240,165
T49,T49F0,C102,LFT,AUS,05:33,06:15,00:42,00:12,546,180,134
T49,T49F1,C102,AUS,MBS,06:53,09:17,02:24,01:54,1908,180,153
T49,T49F2,C103,MBS,LIT,09:56,11:26,01:30,01:00,1204,180,171
T49,T49F3,C103,LIT,JAX,12:03,13:27,01:24,00:54,1093,180,160
T49,T49F4,C103,JAX,SNA,14:15,18:33,04:18,03:48,3410,180,118
