Itinerary,Flight_legs,Pax
I436,F325,52
I437,F326,51
I438,F184-F327,45
I439,F327,51
I440,F179-F328,34
I441,F328,62
I442,F329,96
I443,F330,96
I444,F331,96
I445,F332,96
I446,F333,29
I447,F334,5
I448,F81-F335,5
I449,F112-F235-F335,11
I450,F335,48
I451,F184-F336,17
I452,F336,79
I453,F337,16
I454,F338,49
I455,F339,96
I456,F340,9
I457,F340-F341,45
I458,F341,2
I459,F342,39
I460,F343,39
I461,F344,96
I462,F345,96
I463,F346,40
I464,F347,96
I465,F26-F348,16
I466,F58-F348,27
I467,F153-F348,24
I468,F348,29
I469,F349,11
I470,F12-F350,6
I471,F350,90
I472,F351,2
I473,F189-F352,30
I474,F351-F352,24
I475,F352,16
I476,F20-F353,41
I477,F353,55
I478,F354,37
I479,F109-F355,15
I480,F355,9
I481,F356,96
I482,F357,35
I483,F291-F358,30
I484,F358,66
I485,F359,96
I486,F360,96
I487,F361,24
I488,F64-F362,46
I489,F362,22
I490,F363,96
I491,F364,23
I492,F64-F365,19
I493,F78-F365,45
I494,F365,32
I495,F366,96
I496,F367,96
I497,F368,49
I498,F369,59
I499,F369-F370,15
I500,F370,20
I501,F371,96
I502,F346-F372,30
I503,F372,40
I504,F373,96
I505,F105-F374,41
I506,F374,55
I507,F375,16
I508,F376,44
I509,F340-F377,25
I510,F377,71
I511,F378,96
I512,F379,96
I513,F380,55
I514,F381,63
I515,F25-F382,18
I516,F382,78
I517,F383,42
I518,F384,4
I519,F384-F385,39
I520,F385,57
I521,F386,96
I522,F387,59
I523,F388,22
I524,F389,19
I525,F205-F390,23
I526,F334-F390,30
I527,F390,43
I528,F391,96
I529,F392,3
I530,F393,96
I531,F394,96
I532,F05-F395,40
I533,F116-F395,14
I534,F303-F395,26
I535,F395,16
I536,F396,62
I537,F309-F397,40
I538,F397,37
I539,F102-F398,28
I540,F163-F398,36
I541,F398,14
I542,F399,2
I543,F400,23
I544,F340-F401,12
I545,F400-F401,42
I546,F401,20
I547,F255-F402,34
I548,F274-F402,33
I549,F402,29
I550,F403,61
I551,F404,22
I552,F392-F405,41
I553,F405,55
I554,F406,96
I555,F407,18
I556,F238-F408,35
I557,F408,61
I558,F184-F409,10
I559,F409,28
I560,F240-F410,37
I561,F409-F410,32
I562,F410,27
I563,F411,32
I564,F47-F412,15
I565,F252-F412,23
I566,F412,47
I567,F413,96
I568,F414,96
I569,F415,96
I570,F416,96
I571,F417,62
I572,F184-F418,6
I573,F418,90
I574,F419,35
I575,F420,96
I576,F421,64
I577,F421-F422,32
I578,F422,64
I579,F423,56
I580,F26-F424,12
I581,F123-F424,7
I582,F189-F424,16
I583,F424,61
I584,F425,39
I585,F159-F426,32
I586,F173-F426,19
I587,F426,45
I588,F427,61
I589,F268-F428,21
I590,F428,61
I591,F429,49
I592,F430,3
I593,F431,96
I594,F64-F432,14
I595,F78-F432,15
I596,F432,25
I597,F89-F433,31
I598,F433,65
I599,F434,7
I600,F435,25
I601,F196-F436,31
I602,F253-F436,7
I603,F436,25
I604,F143-F437,46
I605,F296-F437,44
I606,F437,6
I607,F438,31
I608,F439,96
I609,F440,96
I610,F441,16
I611,F442,96
I612,F443,11
I613,F218-F444,18
I614,F444,78
I615,F445,29
I616,F446,7
I617,F447,62
I618,F310-F448,35
I619,F448,61
I620,F449,96
I621,F450,96
I622,F47-F451,14
I623,F102-F451,16
I624,F252-F451,19
I625,F349-F451,32
I626,F451,15
I627,F148-F452,31
I628,F319-F452,38
I629,F452,27
I630,F453,7
I631,F454,96
I632,F455,96
I633,F456,2
I634,F457,37
I635,F19-F458,24
I636,F453-F458,39
I637,F458,17
I638,F459,96
I639,F268-F460,28
I640,F460,68
I641,F461,17
I642,F462,15
I643,F407-F463,44
I644,F463,28
I645,F152-F464,18
I646,F255-F464,18
I647,F269-F464,35
I648,F464,7
I649,F12-F13-F465,15
I650,F53-F465,14
I651,F152-F464-F465,8
I652,F465,59
I653,F466,5
I654,F282-F467,17
I655,F467,54
I656,F165-F468,10
I657,F282-F467-F468,13
I658,F468,73
I659,F469,11
I660,F150-F470,44
I661,F470,52
I662,F471,96
I663,F472,11
I664,F473,96
I665,F474,41
I666,F475,43
I667,F476,96
I668,F477,96
I669,F305-F478,45
I670,F478,51
I671,F479,43
I672,F480,96
I673,F481,36
I674,F205-F482,12
I675,F389-F482,33
I676,F102-F398-F482,13
I677,F466-F482,35
I678,F482,3
I679,F483,51
I680,F157-F484,25
I681,F484,71
I682,F485,56
I683,F486,7
I684,F309-F487,21
I685,F487,19
I686,F488,25
I687,F456-F489,46
I688,F489,50
I689,F490,24
I690,F184-F491,3
I691,F491,92
I692,F184-F491-F492,1
I693,F492,95
I694,F392-F493,27
I695,F493,69
I696,F494,63
I697,F494-F495,33
I698,F495,63
I699,F447-F496,34
I700,F496,62
I701,F497,96
I702,F498,96
I703,F322-F499,34
I704,F499,22
I705,F117-F500,30
I706,F500,66
I707,F501,96
I708,F502,96
I709,F340-F503,5
I710,F503,56
I711,F30-F504,7
I712,F312-F504,26
I713,F504,32
I714,F249-F505,42
I715,F505,54
I716,F506,96
I717,F507,96
I718,F508,96
I719,F195-F509,29
I720,F509,67
I721,F510,21
I722,F511,96
I723,F430-F512,37
I724,F512,59
I725,F513,96
I726,F514,96
I727,F85-F515,23
I728,F475-F515,34
I729,F515,10
I730,F30-F516,4
I731,F312-F516,27
I732,F516,65
I733,F517,96
I734,F518,96
I735,F175-F519,24
I736,F519,72
I737,F520,61
I738,F520-F521,35
I739,F521,2
I740,F57-F522,15
I741,F282-F522,20
I742,F466-F522,26
I743,F522,35
I744,F43-F523,21
I745,F523,20
I746,F11-F524,38
I747,F27-F524,13
I748,F249-F524,18
I749,F43-F523-F524,18
I750,F524,9
I751,F525,35
I752,F526,7
I753,F81-F527,3
I754,F205-F527,12
I755,F481-F527,40
I756,F527,12
I757,F527-F528,19
I758,F528,77
I759,F529,96
I760,F262-F530,17
I761,F530,8
I762,F238-F531,18
I763,F531,78
I764,F532,96
I765,F533,7
I766,F533-F534,18
I767,F534,32
I768,F535,63
I769,F388-F536,28
I770,F536,10
I771,F235-F537,17
I772,F264-F537,23
I773,F445-F537,46
I774,F537,7
I775,F538,66
I776,F319-F539,27
I777,F346-F539,26
I778,F539,43
I779,F540,96
I780,F541,6
I781,F116-F542,4
I782,F542,13
I783,F153-F543,9
I784,F253-F543,17
I785,F543,70
I786,F544,41
I787,F544-F545,23
I788,F545,39
I789,F56-F546,9
I790,F207-F546,18
I791,F546,48
I792,F547,66
I793,F218-F548,13
I794,F246-F548,30
I795,F443-F548,45
I796,F548,8
I797,F549,2
I798,F81-F550,2
I799,F549-F550,22
I800,F550,6
I801,F143-F551,17
I802,F296-F551,20
I803,F551,41
I804,F400-F552,20
I805,F552,76
I806,F553,10
I807,F487-F554,18
I808,F554,23
I809,F127-F555,22
I810,F555,74
I811,F351-F352-F556,17
I812,F556,79
I813,F288-F557,38
I814,F557,58
I815,F558,20
I816,F559,68
I817,F13-F560,16
I818,F525-F560,43
I819,F560,25
I820,F561,96
I821,F562,65
I822,F466-F563,10
I823,F549-F563,24
I824,F563,34
I825,F255-F564,13
I826,F268-F428-F564,8
I827,F563-F564,28
I828,F564,5
I829,F65-F565,39
I830,F253-F565,9
I831,F432-F565,26
I832,F564-F565,14
I833,F565,8
I834,F566,37
I835,F567,14
I836,F226-F568,28
I837,F249-F568,14
I838,F526-F568,31
I839,F549-F568,15
I840,F568,3
I841,F105-F569,20
I842,F342-F569,39
I843,F569,37
I844,F570,96
I845,F571,30
I846,F282-F572,12
I847,F572,84
I848,F483-F573,45
I849,F573,51
I850,F574,57
I851,F575,58
I852,F334-F576,26
I853,F523-F576,25
I854,F526-F576,31
I855,F576,14
I856,F577,96
I857,F578,96
I858,F486-F579,44
I859,F579,52
I860,F580,17
I861,F581,96
I862,F582,65
I863,F583,17
I864,F583-F584,46
I865,F584,14
I866,F541-F585,41
I867,F544-F585,19
I868,F585,36
I869,F26-F586,8
I870,F65-F586,24
I871,F178-F586,31
I872,F209-F586,27
I873,F586,6
I874,F587,96
I875,F588,96
I876,F175-F589,10
I877,F341-F589,18
I878,F589,68
I879,F590,29
I880,F591,96
I881,F592,96
I882,F593,52
I883,F594,96
I884,F595,96
I885,F596,96
I886,F597,33
I887,F597-F598,47
I888,F598,30
I889,F599,96
I890,F600,96
I891,F601,96
I892,F602,65
I893,F127-F603,19
I894,F383-F603,34
I895,F392-F603,11
I896,F456-F603,9
I897,F603,11
I898,F604,29
I899,F605,32
I900,F265-F606,23
I901,F606,73
I902,F01-F607,46
I903,F54-F607,23
I904,F607,9
I905,F246-F608,10
I906,F265-F608,11
I907,F441-F608,34
I908,F547-F608,30
I909,F608,11
I910,F609,17
I911,F441-F610,27
I912,F446-F610,43
I913,F610,26
I914,F611,96
I915,F612,56
I916,F613,96
I917,F27-F614,7
I918,F112-F235-F614,10
I919,F279-F614,41
I920,F521-F614,28
I921,F614,10
I922,F615,4
I923,F466-F616,6
I924,F616,57
I925,F617,54
I926,F618,13
I927,F244-F619,32
I928,F265-F619,9
I929,F441-F619,11
I930,F443-F619,18
I931,F619,26
I932,F620,96
I933,F218-F621,7
I934,F446-F621,19
I935,F621,70
I936,F622,96
I937,F623,96
I938,F624,96
I939,F625,96
I940,F626,96
I941,F479-F627,32
I942,F627,64
I943,F628,96
I944,F629,96
I945,F61-F630,10
I946,F269-F630,30
I947,F401-F630,14
I948,F463-F630,24
I949,F630,18
I950,F631,38
I951,F364-F632,42
I952,F631-F632,26
I953,F632,8
I954,F631-F632-F633,10
I955,F633,50
I956,F634,96
I957,F635,96
I958,F325-F636,44
I959,F636,19
I960,F411-F637,40
I961,F637,56
I962,F638,96
I963,F639,96
I964,F640,96
I965,F149-F641,37
I966,F269-F641,10
I967,F641,49
I968,F642,7
I969,F30-F643,2
I970,F643,64
I971,F85-F644,12
I972,F384-F644,17
I973,F472-F644,35
I974,F644,10
I975,F57-F645,6
I976,F235-F645,10
I977,F389-F645,25
I978,F521-F645,13
I979,F536-F645,21
I980,F644-F645,15
I981,F645,6
I982,F646,66
I983,F647,96
I984,F648,36
I985,F648-F649,29
I986,F649,67
I987,F650,96
I988,F651,23
I989,F434-F652,35
I990,F652,61
I991,F653,96
I992,F32-F654,24
I993,F143-F654,13
I994,F425-F654,31
I995,F654,28
I996,F655,96
I997,F656,12
I998,F146-F657,29
I999,F279-F657,19
I1000,F282-F657,8
I1001,F481-F657,20
I1002,F657,20
I1003,F68-F658,42
I1004,F338-F658,47
I1005,F658,7
I1006,F659,58
I1007,F538-F660,30
I1008,F660,43
I1009,F574-F661,39
I1010,F660-F661,23
I1011,F661,20
I1012,F662,67
I1013,F510-F663,30
I1014,F663,66
I1015,F646-F664,20
I1016,F664,66
I1017,F510-F665,17
I1018,F646-F664-F665,10
I1019,F665,63
I1020,F11-F666,25
I1021,F27-F666,7
I1022,F57-F666,3
I1023,F282-F666,6
I1024,F504-F666,16
I1025,F523-F666,12
I1026,F526-F666,14
I1027,F666,13
I1028,F667,13
I1029,F12-F668,6
I1030,F667-F668,46
I1031,F668,11
I1032,F17-F669,13
I1033,F341-F669,9
I1034,F669,46
I1035,F670,19
I1036,F56-F671,4
I1037,F337-F671,41
I1038,F423-F671,40
I1039,F671,11
I1040,F672,51
I1041,F56-F673,3
I1042,F207-F673,14
I1043,F564-F673,7
I1044,F673,72
I1045,F674,96
I1046,F675,96
I1047,F676,96
I1048,F283-F677,16
I1049,F533-F677,26
I1050,F677,54
I1051,F678,13
I1052,F678-F679,45
I1053,F679,17
I1054,F680,96
I1055,F107-F681,39
I1056,F131-F681,31
I1057,F632-F681,4
I1058,F681,22
I1059,F682,56
I1060,F683,96
I1061,F684,64
I1062,F685,96
I1063,F686,96
I1064,F687,9
I1065,F526-F688,6
I1066,F688,90
I1067,F689,96
I1068,F690,37
I1069,F691,96
I1070,F692,58
I1071,F453-F693,22
I1072,F692-F693,38
I1073,F693,36
I1074,F694,35
I1075,F695,96
I1076,F583-F696,15
I1077,F696,81
I1078,F697,96
I1079,F343-F698,35
I1080,F598-F698,11
I1081,F698,11
I1082,F170-F699,37
I1083,F699,59
I1084,F700,96
I1085,F701,9
I1086,F462-F702,47
I1087,F702,19
I1088,F568-F703,2
I1089,F703,56
I1090,F355-F704,19
I1091,F409-F704,14
I1092,F462-F704,15
I1093,F704,26
I1094,F79-F705,20
I1095,F155-F705,23
I1096,F247-F705,25
I1097,F705,28
I1098,F706,11
I1099,F701-F707,32
I1100,F707,64
I1101,F708,96
I1102,F709,55
I1103,F710,96
I1104,F711,96
I1105,F712,96
I1106,F713,59
I1107,F110-F714,41
I1108,F541-F714,23
I1109,F714,32
I1110,F715,96
I1111,F361-F716,33
I1112,F716,28
I1113,F47-F717,5
I1114,F94-F717,24
I1115,F222-F717,26
I1116,F717,14
I1117,F364-F718,19
I1118,F631-F718,16
I1119,F717-F718,8
I1120,F718,53
I1121,F719,57
I1122,F375-F720,46
I1123,F720,50
I1124,F721,96
I1125,F722,96
I1126,F723,47
I1127,F724,96
I1128,F725,18
I1129,F58-F726,13
I1130,F351-F726,25
I1131,F545-F726,21
I1132,F726,37
I1133,F727,96
I1134,F728,96
I1135,F729,54
I1136,F116-F730,4
I1137,F553-F730,37
I1138,F730,55
I1139,F472-F731,22
I1140,F490-F731,31
I1141,F731,43
I1142,F732,2
I1143,F670-F733,34
I1144,F732-F733,30
I1145,F733,32
I1146,F734,96
I1147,F735,16
I1148,F736,96
I1149,F737,96
I1150,F738,96
I1151,F739,19
I1152,F22-F740,26
I1153,F341-F740,8
I1154,F550-F740,21
I1155,F740,26
I1156,F740-F741,15
I1157,F741,81
I1158,F742,96
I1159,F743,58
I1160,F743-F744,38
I1161,F744,58
I1162,F429-F745,47
I1163,F745,49
I1164,F746,65
I1165,F747,33
I1166,F701-F748,28
I1167,F706-F748,37
I1168,F748,31
I1169,F152-F749,10
I1170,F749,86
I1171,F617-F750,42
I1172,F678-F750,15
I1173,F750,39
I1174,F751,96
I1175,F752,61
I1176,F141-F753,21
I1177,F551-F753,18
I1178,F753,57
I1179,F372-F754,26
I1180,F754,70
I1181,F755,29
I1182,F756,50
I1183,F757,96
I1184,F758,96
I1185,F759,39
I1186,F760,41
I1187,F22-F23-F761,7
I1188,F761,58
I1189,F361-F762,27
I1190,F761-F762,26
I1191,F762,43
I1192,F763,35
I1193,F34-F764,8
I1194,F533-F764,13
I1195,F764,23
I1196,F605-F765,37
I1197,F765,59
I1198,F766,96
I1199,F767,96
I1200,F768,96
I1201,F769,53
I1202,F47-F770,4
I1203,F161-F770,30
I1204,F186-F770,43
I1205,F770,19
I1206,F771,96
I1207,F123-F179-F772,8
I1208,F179-F772,17
I1209,F755-F772,44
I1210,F772,27
I1211,F773,29
I1212,F774,96
I1213,F775,96
I1214,F776,96
I1215,F777,96
I1216,F659-F778,38
I1217,F778,38
I1218,F19-F779,27
I1219,F110-F779,17
I1220,F487-F779,13
I1221,F584-F779,20
I1222,F779,11
I1223,F780,26
I1224,F469-F781,34
I1225,F667-F781,17
I1226,F780-F781,33
I1227,F781,7
I1228,F782,96
I1229,F32-F783,14
I1230,F143-F783,6
I1231,F296-F783,11
I1232,F341-F783,4
I1233,F425-F783,26
I1234,F430-F783,24
I1235,F783,11
I1236,F784,4
I1237,F57-F785,3
I1238,F785,93
I1239,F786,62
I1240,F250-F787,33
I1241,F461-F787,41
I1242,F787,22
I1243,F788,15
I1244,F282-F789,3
I1245,F549-F789,6
I1246,F567-F789,44
I1247,F789,43
I1248,F165-F790,5
I1249,F324-F790,35
I1250,F427-F790,35
I1251,F282-F467-F790,12
I1252,F790,9
I1253,F560-F791,12
I1254,F791,84
I1255,F57-F792,1
I1256,F59-F792,46
I1257,F249-F792,6
I1258,F312-F504-F792,12
I1259,F521-F792,9
I1260,F533-F534-F792,17
I1261,F792,5
I1262,F793,96
I1263,F794,96
I1264,F795,96
I1265,F282-F796,2
I1266,F796,94
I1267,F797,27
I1268,F797-F798,46
I1269,F798,50
I1270,F799,96
I1271,F800,51
I1272,F800-F801,45
I1273,F801,21
I1274,F265-F802,5
I1275,F446-F802,14
I1276,F802,77
I1277,F803,96
I1278,F804,35
I1279,F456-F805,9
I1280,F805,87
I1281,F806,61
I1282,F694-F807,42
I1283,F756-F807,46
I1284,F807,8
I1285,F808,42
I1286,F19-F809,10
I1287,F778-F809,20
I1288,F809,66
I1289,F810,50
I1290,F45-F811,20
I1291,F811,76
I1292,F812,26
I1293,F26-F813,8
I1294,F123-F813,3
I1295,F732-F813,13
I1296,F813,59
I1297,F81-F814,1
I1298,F615-F814,21
I1299,F814,16
I1300,F79-F815,12
I1301,F253-F815,8
I1302,F485-F815,40
I1303,F268-F428-F564-F815,6
I1304,F732-F815,12
I1305,F815,18
I1306,F816,32
I1307,F109-F817,18
I1308,F817,78
I1309,F818,58
I1310,F235-F819,4
I1311,F334-F819,17
I1312,F818-F819,38
I1313,F819,23
I1314,F17-F820,8
I1315,F273-F820,25
I1316,F604-F820,46
I1317,F820,17
I1318,F821,14
I1319,F822,96
I1320,F823,96
I1321,F167-F824,33
I1322,F171-F824,47
I1323,F197-F824,5
I1324,F824,11
I1325,F825,96
I1326,F826,96
I1327,F404-F827,24
I1328,F827,62
I1329,F828,52
I1330,F829,28
I1331,F30-F830,2
I1332,F830,30
I1333,F316-F831,28
I1334,F343-F831,22
I1335,F760-F831,16
I1336,F831,5
I1337,F461-F832,24
I1338,F515-F832,13
I1339,F832,59
I1340,F833,9
I1341,F549-F834,7
I1342,F834,63
I1343,F834-F835,26
I1344,F835,12
I1345,F443-F836,16
I1346,F764-F836,34
I1347,F835-F836,31
I1348,F836,15
I1349,F837,96
I1350,F838,96
I1351,F260-F839,29
I1352,F839,67
I1353,F840,96
I1354,F841,96
I1355,F92-F842,19
I1356,F842,77
I1357,F843,96
I1358,F02-F844,41
I1359,F85-F844,5
I1360,F326-F844,45
I1361,F844,5
I1362,F845,55
I1363,F846,96
I1364,F567-F847,15
I1365,F847,81
I1366,F797-F848,23
I1367,F845-F848,41
I1368,F848,22
I1369,F849,58
I1370,F399-F850,31
I1371,F850,65
I1372,F851,96
I1373,F553-F852,25
I1374,F852,40
I1375,F12-F853,2
I1376,F349-F853,29
I1377,F362-F853,18
I1378,F853,47
I1379,F854,23
I1380,F81-F855,1
I1381,F855,50
I1382,F151-F856,38
I1383,F181-F856,35
I1384,F856,23
I1385,F857,96
I1386,F858,96
I1387,F859,96
I1388,F860,96
I1389,F861,42
I1390,F862,61
I1391,F173-F863,16
I1392,F668-F863,16
I1393,F863,64
I1394,F864,64
I1395,F34-F865,6
I1396,F558-F865,38
I1397,F763-F865,35
I1398,F865,17
I1399,F866,96
I1400,F867,96
I1401,F868,96
I1402,F869,96
I1403,F870,52
I1404,F871,96
I1405,F354-F872,31
I1406,F499-F872,27
I1407,F872,38
I1408,F873,66
I1409,F384-F874,19
I1410,F874,77
I1411,F875,96
I1412,F244-F876,23
I1413,F810-F876,46
I1414,F876,27
I1415,F89-F877,12
I1416,F435-F877,31
I1417,F537-F877,3
I1418,F564-F877,5
I1419,F661-F877,14
I1420,F877,31
I1421,F878,21
I1422,F879,96
I1423,F880,96
I1424,F33-F881,41
I1425,F831-F881,8
I1426,F881,47
I1427,F882,96
I1428,F883,42
I1429,F296-F884,9
I1430,F341-F884,1
I1431,F550-F884,11
I1432,F884,75
I1433,F885,96
I1434,F189-F886,8
I1435,F886,88
I1436,F887,17
I1437,F888,36
I1438,F265-F889,3
I1439,F618-F889,30
I1440,F889,63
I1441,F890,96
I1442,F891,11
I1443,F56-F892,1
I1444,F351-F892,9
I1445,F732-F892,11
I1446,F892,75
I1447,F78-F893,17
I1448,F893,42
I1449,F486-F894,21
I1450,F894,75
I1451,F895,34
I1452,F896,96
I1453,F897,96
I1454,F898,96
I1455,F899,63
I1456,F195-F900,29
I1457,F419-F900,37
I1458,F597-F900,16
I1459,F900,14
I1460,F901,50
I1461,F902,96
I1462,F903,54
I1463,F903-F904,42
I1464,F904,54
I1465,F905,96
I1466,F906,56
